Item,CH108_8_C(1)(1),CH108_Time_SEC(1)(1),CH116_16_C(1)(1),CH116_Time_SEC(1)(1),
1,39.6138344,0,39.7867661,0.085,
2,39.62323,0.166,39.7781868,0.247,
3,39.6343956,0.328,39.7982063,0.409,
4,39.6514168,0.49,39.8020172,0.571,
5,39.6421585,0.677,39.8054237,0.758,
6,39.6489677,0.839,39.8028374,0.92,
7,39.6481476,1.001,39.7935753,1.083,
8,39.6162834,1.276,39.8047447,1.357,
9,39.638073,1.463,39.7924881,1.544,
10,39.6021194,1.631,39.7930298,1.718,
11,39.6051178,1.847,39.7903061,1.928,
12,39.6279945,2.009,39.7781868,2.09,
13,39.6064796,2.236,39.8067856,2.317,
14,39.6288109,2.398,39.8073311,2.479,
15,39.6361656,2.566,39.79739,2.651,
16,39.6319427,2.771,39.8254433,2.852,
17,39.6139679,2.958,39.7890816,3.044,
18,39.6183281,3.131,39.7811813,3.251,
19,39.6059341,3.332,39.7901726,3.413,
20,39.6251373,3.494,39.7659302,3.577,
21,39.6303101,3.73,39.7691956,3.811,
22,39.6368484,3.892,39.793438,3.978,
23,39.5995331,4.065,39.7730103,4.185,
24,39.6075668,4.266,39.7862206,4.347,
25,39.6077042,4.458,39.76511,4.543,
26,39.6006241,4.663,39.7894897,4.744,
27,39.6060715,4.825,39.7950745,4.906,
28,39.5943565,4.997,39.7765503,5.117,
29,39.5916328,5.223,39.7869034,5.304,
30,39.5932693,5.388,39.7721939,5.478,
31,39.6022568,5.597,39.7756004,5.678,
32,39.592453,5.759,39.7529907,5.84,
33,39.5859146,6.054,39.7728729,6.135,
34,39.6030731,6.216,39.7765503,6.302,
35,39.6094742,6.397,39.7818642,6.496,
36,39.5919075,6.578,39.7847252,6.659,
37,39.6205063,6.765,39.767292,6.846,
38,39.5735207,6.941,39.7689247,7.079,
39,39.6117897,7.16,39.76157,7.241,
40,39.5912247,7.322,39.7625237,7.406,
41,39.5880928,7.549,39.7580299,7.63,
42,39.5980339,7.711,39.749176,7.792,
43,39.5773354,7.89,39.76334,7.999,
44,39.5934067,8.08,39.7743721,8.161,
45,39.5842819,8.267,39.7866287,8.353,
46,39.5872765,8.447,39.7890816,8.587,
47,39.588501,8.668,39.7489052,8.749,
48,39.5737953,8.83,39.7637482,8.914,
49,39.5890465,9.068,39.7753258,9.149,
50,39.5778809,9.23,39.7563934,9.311,
51,39.5925865,9.408,39.7630692,9.531,
