Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,39.1588135,0,39.8040733,0.064
2,39.1762466,0.127,39.8273735,0.19
3,39.1692467,0.253,39.8206558,0.316
4,39.1761055,0.379,39.8133926,0.442
5,39.1748734,0.53,39.8209305,0.593
6,39.1675987,0.656,39.8320312,0.719
7,39.1577148,0.782,39.828743,0.845
8,39.1621094,0.908,39.8172302,0.971
9,39.1641655,1.059,39.8146248,1.123
10,39.150856,1.191,39.8220291,1.254
11,39.1424828,1.317,39.7999611,1.38
12,39.1360321,1.447,39.8094177,1.511
13,39.1273842,1.6,39.8202438,1.664
14,39.1445389,1.727,39.8154488,1.79
15,39.1450882,1.853,39.8360062,1.916
16,39.1360321,1.979,39.8380623,2.043
17,39.1643028,2.132,39.8334045,2.195
18,39.1497574,2.258,39.8238106,2.321
19,39.1430321,2.384,39.8120232,2.455
20,39.1459122,2.527,39.8235359,2.755
21,39.1781654,2.964,39.8417625,3.033
22,39.1788521,3.097,39.8179169,3.16
23,39.1404228,3.223,39.8146248,3.291
24,39.1544228,3.401,39.8362808,3.47
25,39.1766548,3.558,39.8457375,3.621
26,39.1847534,3.684,39.8521805,3.756
27,39.1618347,3.861,39.8387489,3.93
28,39.162796,3.993,39.8358688,4.056
29,39.1516762,4.145,39.8272362,4.211
30,39.1748734,4.328,39.8096924,4.391
31,39.1483841,4.454,39.8081856,4.517
32,39.1505775,4.581,39.8409424,4.647
33,39.1419334,4.86,39.8338127,4.924
34,39.1529121,4.987,39.8257294,5.05
35,39.1540108,5.115,39.7850189,5.183
36,39.1401482,5.279,39.8076363,5.342
37,39.1518135,5.431,39.8095551,5.495
38,39.163208,5.561,39.8175049,5.627
39,39.1334229,5.737,39.8164062,5.806
40,39.1560707,5.869,39.8340874,5.932
41,39.1196976,6.021,39.8346367,6.095
42,39.1452255,6.198,39.8129807,6.267
43,39.1520882,6.331,39.8214798,6.394
44,39.1579895,6.457,39.8027,6.522
45,39.1207962,6.668,39.8083229,6.732
46,39.1330109,6.795,39.8188744,6.859
47,39.1288948,6.922,39.7995491,6.992
48,39.1415215,7.058,39.7809067,7.16
49,39.1166763,7.254,39.8076363,7.317
50,39.1151695,7.381,39.8079109,7.444
51,39.1106377,7.516,39.8101044,7.622
52,39.1225815,7.691,39.8025627,7.754
53,39.0888138,7.842,39.7943382,7.905
54,39.1206589,7.972,39.7884445,8.089
55,39.0929298,8.153,39.803936,8.216
56,39.0977364,8.279,39.7883072,8.343
57,39.0989723,8.434,39.765419,8.505
58,39.092247,8.631,39.803524,8.694
59,39.0818138,8.757,39.7892685,8.82
60,39.1025391,8.883,39.7719994,8.946
61,39.0599861,9.09,39.7898178,9.153
62,39.077282,9.216,39.7839241,9.28
63,39.098423,9.343,39.7677498,9.407
64,39.0804405,9.528,39.8007736,9.591
65,39.0815315,9.679,39.7759628,9.742
66,39.0809822,9.805,39.7704811,9.87
67,39.0443306,9.94,39.7802124,10.067
68,39.0680809,10.131,39.7870674,10.194
69,39.0719223,10.352,39.7682877,10.417
70,39.064785,10.527,39.7734985,10.596
71,39.0392494,10.659,39.7636261,10.722
72,39.0430946,10.785,39.7647247,10.856
73,39.0559998,10.952,39.7522507,11.068
74,39.03582,11.138,39.745121,11.201
75,39.0477638,11.264,39.7633514,11.328
76,39.0450172,11.399,39.7589684,11.465
77,39.0260735,11.606,39.7473145,11.669
78,39.0245628,11.732,39.7270279,11.795
79,39.0281296,11.858,39.7338791,11.925
80,39.0236015,12.045,39.7299042,12.109
81,39.0278549,12.197,39.742382,12.261
82,39.0310135,12.325,39.7311401,12.388
83,39.0064392,12.458,39.7245598,12.576
84,38.9832382,12.64,39.7526627,12.703
85,39.0058899,12.791,39.7262039,12.861
86,39.0060272,12.935,39.7182541,13.055
87,38.9885902,13.124,39.7203102,13.188
88,38.9861221,13.251,39.715374,13.315
89,38.979393,13.406,39.7033081,13.474
90,38.9737625,13.592,39.7079697,13.655
91,38.9874954,13.719,39.6778107,13.782
92,38.9763718,13.845,39.6935768,13.917
93,38.9854355,14.063,39.6743813,14.127
94,38.9755478,14.19,39.6896019,14.254
95,38.9666252,14.318,39.6965904,14.386
96,38.9571495,14.492,39.6941223,14.561
97,38.9809036,14.649,39.691658,14.713
98,38.9799423,14.776,39.6568336,14.842
99,38.9649773,14.967,39.6712303,15.031
100,38.9855728,15.094,39.6736984,15.158
101,38.9679985,15.247,39.6669807,15.313
102,38.9697838,15.432,39.6683502,15.496
103,38.9627838,15.559,39.6635513,15.622
104,38.9745903,15.685,39.659111,15.756
105,38.9378433,15.974,39.6695328,16.037
106,38.9548683,16.1,39.6555481,16.164
107,38.9583015,16.23,39.6644592,16.295
108,38.9459419,16.393,39.6489639,16.457
109,38.9604988,16.545,39.6514359,16.609
110,38.9356461,16.679,39.651844,16.745
111,38.9191666,16.86,39.6606216,16.929
112,38.9449806,16.992,39.6493759,17.055
113,38.9313889,17.143,39.6565056,17.207
114,38.9302902,17.328,39.6392326,17.391
115,38.9519844,17.454,39.6440315,17.518
116,38.9084587,17.582,39.6294975,17.652
117,38.9201317,17.802,39.6277122,17.865
118,38.9091454,17.929,39.6319656,17.993
119,38.9331741,18.056,39.6480064,18.126
120,38.9379807,18.192,39.6517067,18.299
121,38.9145012,18.393,39.6275749,18.456
122,38.9124413,18.519,39.6581535,18.582
123,38.9088707,18.645,39.6362152,18.768
124,38.9015923,18.831,39.6460876,18.895
125,38.8917046,18.984,39.6331978,19.048
126,38.8967857,19.111,39.6296349,19.235
127,38.9193039,19.298,39.6329231,19.361
128,38.93853,19.424,39.6470451,19.487
129,38.9184837,19.576,39.6249695,19.645
130,38.9537697,19.762,39.6344337,19.826
131,38.9048882,19.889,39.6245613,19.953
132,38.9290543,20.017,39.6161957,20.083
133,38.9294662,20.236,39.6209946,20.299
134,38.9125786,20.362,39.6238747,20.425
135,38.9230118,20.488,39.6209946,20.557
136,38.9263077,20.662,39.616333,20.732
137,38.93853,20.821,39.6016617,20.885
138,38.9145012,20.949,39.6323776,21.023
