Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,40.5078888,0,41.393383,0.064
2,40.5323029,0.127,41.3792801,0.19
3,40.5373764,0.253,41.3631248,0.316
4,40.5328522,0.379,41.3816109,0.442
5,40.5483475,0.53,41.3772278,0.593
6,40.5284615,0.656,41.3873596,0.719
7,40.5519142,0.782,41.3692856,0.845
8,40.535183,0.908,41.3798294,0.971
9,40.5301094,1.059,41.3894119,1.123
10,40.5161209,1.192,41.3999557,1.255
11,40.5413551,1.318,41.3827057,1.383
12,40.5316162,1.447,41.3638115,1.51
13,40.5305214,1.598,41.3749008,1.661
14,40.5364189,1.725,41.3810616,1.788
15,40.5316162,1.851,41.3690147,1.914
16,40.5276413,1.977,41.3746262,2.04
17,40.5468407,2.128,41.3850327,2.191
18,40.534771,2.255,41.3890038,2.318
19,40.5408058,2.389,41.3795547,2.455
20,40.514061,2.594,41.3686028,2.809
21,40.5324402,2.947,41.3642197,3.011
22,40.5327148,3.075,41.3857155,3.138
23,40.5344963,3.201,41.3880424,3.265
24,40.5121422,3.334,41.3670959,3.467
25,40.5423126,3.555,41.3880424,3.619
26,40.5333977,3.683,41.373394,3.754
27,40.5188637,3.827,41.3653183,3.95
28,40.5211945,4.013,41.3810616,4.077
29,40.5346336,4.166,41.3629875,4.229
30,40.5216064,4.298,41.3718872,4.401
31,40.54739,4.47,41.3806496,4.533
32,40.5360069,4.596,41.356144,4.659
33,40.5409431,4.841,41.3621674,4.955
34,40.526268,5.018,41.3618927,5.081
35,40.5447845,5.144,41.3535423,5.207
36,40.5202332,5.278,41.3631248,5.344
37,40.5417671,5.48,41.362442,5.543
38,40.5247612,5.606,41.3657265,5.669
39,40.5318909,5.732,41.3806496,5.798
40,40.5379257,5.918,41.3665504,5.981
41,40.519001,6.069,41.3805122,6.132
42,40.5340843,6.195,41.365181,6.26
43,40.5364189,6.326,41.3681908,6.438
44,40.5354576,6.507,41.3577881,6.571
45,40.5280495,6.659,41.3560066,6.722
46,40.5092621,6.786,41.3725739,6.909
47,40.5203705,6.972,41.3768158,7.036
48,40.5077553,7.1,41.3390312,7.163
49,40.5114555,7.253,41.3575134,7.331
50,40.5187263,7.447,41.362442,7.515
51,40.5218811,7.578,41.3805122,7.641
52,40.5221519,7.704,41.3632622,7.775
53,40.5247612,7.921,41.3592911,7.984
54,40.5221519,8.047,41.3725739,8.11
55,40.5165329,8.173,41.3640862,8.236
56,40.5151596,8.3,41.335331,8.415
57,40.5205078,8.503,41.3440933,8.566
58,40.5242119,8.629,41.3532677,8.692
59,40.5205078,8.758,41.3618927,8.829
60,40.5141983,8.934,41.3590202,9.003
61,40.527092,9.091,41.3516273,9.155
62,40.5232506,9.219,41.3610725,9.294
63,40.5128288,9.41,41.3822937,9.478
64,40.534359,9.541,41.3512192,9.604
65,40.5046043,9.693,41.3519058,9.757
66,40.5139313,9.875,41.3454704,9.938
67,40.5310745,10.002,41.3566971,10.065
68,40.5059738,10.128,41.347477,10.194
69,40.5169258,10.413,41.3491173,10.476
70,40.5336609,10.539,41.3510361,10.602
71,40.5203552,10.666,41.3425484,10.735
72,40.5318756,10.833,41.3593864,10.897
73,40.5224152,10.985,41.3292656,11.048
74,40.5052681,11.114,41.3485718,11.18
75,40.516243,11.296,41.353775,11.366
76,40.5144577,11.429,41.3363838,11.493
77,40.4837379,11.582,41.3456955,11.648
