Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,43.5367317,0,44.5464981,0.064
2,43.5551338,0.127,44.5599678,0.19
3,43.5323715,0.253,44.5424164,0.316
4,43.5401421,0.379,44.550988,0.442
5,43.552681,0.53,44.5535744,0.593
6,43.5563622,0.656,44.5488136,0.719
7,43.5492744,0.782,44.5443237,0.845
8,43.5614052,0.908,44.5621422,0.971
9,43.5379601,1.058,44.5460899,1.122
10,43.5683556,1.19,44.5576561,1.254
11,43.5672646,1.317,44.5513962,1.38
12,43.5783081,1.444,44.5466354,1.507
13,43.5718994,1.595,44.5433701,1.658
14,43.5747643,1.721,44.5605133,1.784
15,43.5853958,1.847,44.5664986,1.91
16,43.5664482,1.973,44.5592888,2.036
17,43.561676,2.125,44.5481308,2.188
18,43.5695839,2.251,44.5482681,2.314
19,43.5650864,2.377,44.5356148,2.449
20,43.5410957,2.593,44.5489471,2.809
21,43.5725822,2.946,44.5456818,3.009
22,43.5472298,3.072,44.5507172,3.135
23,43.5612679,3.201,44.5462273,3.267
24,43.5654945,3.387,44.5539825,3.456
25,43.5451851,3.545,44.5394257,3.609
26,43.5654945,3.672,44.5382011,3.735
27,43.5693092,3.852,44.5361603,3.915
28,43.5644035,3.978,44.5262268,4.041
29,43.5695839,4.13,44.5464981,4.194
30,43.5634499,4.315,44.5439156,4.378
31,43.562767,4.441,44.5565689,4.504
32,43.564949,4.567,44.5216034,4.637
33,43.5611305,4.85,44.5414665,4.913
34,43.5543175,4.976,44.5386093,5.039
35,43.5488625,5.105,44.5330284,5.207
36,43.5754433,5.27,44.5482681,5.333
37,43.5556793,5.421,44.5376556,5.484
38,43.5603142,5.548,44.5315331,5.669
39,43.5808945,5.732,44.5278595,5.795
40,43.5698547,5.858,44.5488136,5.921
41,43.5522728,6.012,44.5263641,6.133
42,43.5669937,6.196,44.5201042,6.259
43,43.5735359,6.322,44.5236404,6.385
44,43.5765343,6.456,44.5372475,6.522
45,43.5592232,6.658,44.5395592,6.722
46,43.5545883,6.786,44.5313957,6.849
47,43.5669937,6.912,44.5237778,6.982
48,43.5710831,7.088,44.5341194,7.157
49,43.5863495,7.245,44.5331657,7.308
50,43.5573158,7.371,44.5288132,7.437
51,43.5844383,7.558,44.5274513,7.622
52,43.5769424,7.686,44.5342567,7.749
53,43.5739441,7.837,44.5217369,7.901
54,43.5631752,7.971,44.5115326,8.096
55,43.5589523,8.16,44.5214661,8.224
56,43.562088,8.287,44.5218742,8.35
57,43.5672646,8.498,44.5406502,8.562
58,43.5713539,8.626,44.5328949,8.689
59,43.5500908,8.752,44.5229614,8.823
60,43.5641289,8.889,44.5169762,9
61,43.5815773,9.094,44.5176552,9.157
62,43.5844383,9.22,44.5303085,9.284
63,43.5883942,9.356,44.4972466,9.465
64,43.5740814,9.534,44.5104378,9.597
65,43.5826607,9.685,44.5213211,9.748
66,43.5781631,9.811,44.4961479,9.882
67,43.5954742,10,44.5009125,10.063
68,43.5950623,10.126,44.5150726,10.189
69,43.5725861,10.377,44.5018738,10.494
70,43.5772209,10.557,44.5156181,10.62
71,43.5800819,10.683,44.5060928,10.747
72,43.6012077,10.819,44.5112617,10.926
73,43.5821266,11.019,44.4837769,11.083
74,43.5930328,11.147,44.5171135,11.21
75,43.6065254,11.274,44.5094955,11.396
76,43.5903053,11.46,44.4919403,11.523
77,43.6072044,11.611,44.5066345,11.674
78,43.6018906,11.74,44.4927567,11.865
79,43.6170197,11.928,44.5267723,11.991
80,43.6095238,12.054,44.5334404,12.118
81,43.6159286,12.209,44.5233734,12.331
82,43.6054344,12.394,44.5263641,12.458
83,43.6047516,12.522,44.5243233,12.585
84,43.5964394,12.655,44.5160225,12.722
85,43.6013451,12.862,44.5113991,12.925
86,43.5961647,12.988,44.5309914,13.052
87,43.6198807,13.115,44.5338486,13.184
88,43.5907135,13.291,44.5241859,13.36
89,43.6170197,13.449,44.5260933,13.512
90,43.6242409,13.575,44.5278633,13.641
91,43.6014824,13.761,44.5002411,13.825
92,43.6235619,13.888,44.5092209,13.951
93,43.5913963,14.039,44.4998329,14.108
94,43.6144295,14.229,44.5214661,14.293
95,43.6302376,14.357,44.5191544,14.42
96,43.6104774,14.483,44.5214661,14.553
97,43.5866241,14.704,44.517247,14.767
98,43.5908508,14.83,44.5342567,14.894
99,43.6005287,14.958,44.5100372,15.028
100,43.5913963,15.094,44.4806641,15.2
101,43.5914116,15.295,44.5179451,15.358
102,43.5873222,15.421,44.5037964,15.485
103,43.6066742,15.552,44.4793022,15.623
104,43.5815964,15.751,44.5015266,15.814
105,43.5863152,15.97,44.4955414,16.036
106,43.5875397,16.102,44.5000313,16.198
107,43.5864487,16.267,44.5196236,16.331
108,43.5808601,16.394,44.4964951,16.457
109,43.5921745,16.546,44.5064247,16.665
110,43.6028061,16.729,44.5024803,16.792
111,43.5726852,16.855,44.5186737,16.919
112,43.5796356,16.99,44.5139091,17.059
113,43.5721397,17.201,44.4963577,17.264
114,43.5869942,17.328,44.5064247,17.391
115,43.5735016,17.454,44.5171745,17.518
116,43.5608253,17.639,44.5077866,17.709
117,43.5845413,17.797,44.4962204,17.861
118,43.5789528,17.925,44.5061539,17.989
119,43.5823593,18.059,44.4937714,18.185
120,43.5681839,18.248,44.5162247,18.311
121,43.5491028,18.399,44.4933632,18.465
122,43.5779991,18.531,44.5032967,18.652
123,43.5668221,18.721,44.4989441,18.784
124,43.5762291,18.848,44.488736,18.911
125,43.5684586,19,44.4964951,19.071
126,43.5579643,19.181,44.4853371,19.25
127,43.5624619,19.313,44.5133636,19.377
128,43.5615082,19.441,44.5090111,19.507
129,43.5688667,19.601,44.5130928,19.727
130,43.5471954,19.797,44.494725,19.861
131,43.5454216,19.924,44.5057457,19.988
132,43.5413322,20.052,44.4920052,20.118
133,43.5822258,20.26,44.4872406,20.324
134,43.5418777,20.387,44.5037048,20.45
135,43.5507393,20.513,44.4891441,20.58
136,43.5229301,20.645,44.4959534,20.763
137,43.5525131,20.852,44.5022133,20.915
138,43.5570107,20.978,44.4860199,21.049
139,43.5380669,21.119,44.4962242,21.236
140,43.5372467,21.305,44.4827545,21.369
141,43.5559196,21.525,44.4812553,21.594
142,43.5302925,21.658,44.4881981,21.755
143,43.527565,21.824,44.495137,21.887
144,43.5428352,21.95,44.4819382,22.014
145,43.526886,22.109,44.4852036,22.225
146,43.5300217,22.294,44.5019386,22.358
147,43.5274315,22.422,44.4639748,22.485
148,43.519249,22.555,44.4579895,22.63
149,43.5392876,22.775,44.4760864,22.838
150,43.5550995,22.901,44.4891479,22.964
151,43.5407867,23.027,44.4924133,23.091
152,43.5332909,23.212,44.4680603,23.281
153,43.5129814,23.369,44.4835709,23.432
154,43.5158424,23.495,44.4626167,23.56
155,43.4953957,23.626,44.4818008,23.756
156,43.5180244,23.819,44.4435623,23.882
157,43.5110703,23.97,44.4774483,24.036
158,43.5122986,24.102,44.470372,24.224
159,43.5049362,24.293,44.4794891,24.357
160,43.498394,24.421,44.4798973,24.484
161,43.5046654,24.575,44.4666985,24.645
162,43.493351,24.762,44.4700974,24.825
163,43.5125694,24.889,44.482888,24.952
164,43.5182953,25.015,44.4700974,25.083
165,43.5015297,25.225,44.4755409,25.289
166,43.4832611,25.353,44.4846581,25.416
167,43.4872131,25.479,44.4626167,25.554
168,43.4809456,25.66,44.4699638,25.729
169,43.4851685,25.817,44.4575813,25.88
170,43.4757652,25.943,44.4573067,26.009
171,43.4865341,26.13,44.4537704,26.193
172,43.4446793,26.256,44.4586723,26.32
173,43.4846268,26.409,44.4680603,26.476
174,43.4707222,26.6,44.4407089,26.664
175,43.4767189,26.728,44.4597595,26.791
176,43.468811,26.854,44.4494331,26.925
177,43.4483757,27.144,44.4580048,27.207
178,43.4579201,27.27,44.4707954,27.334
179,43.4834137,27.397,44.4461639,27.465
180,43.4648743,27.563,44.4438522,27.627
181,43.4381523,27.715,44.4336479,27.778
182,43.4710083,27.843,44.4286125,27.91
183,43.4489212,28.025,44.4382751,28.095
184,43.4532852,28.158,44.4313324,28.221
185,43.4382858,28.309,44.4369133,28.373
186,43.4512405,28.491,44.4488876,28.554
187,43.4366493,28.617,44.4294289,28.681
188,43.4371948,28.744,44.4522903,28.808
189,43.4524651,28.961,44.4487503,29.024
190,43.4302444,29.087,44.41623,29.15
191,43.4283333,29.213,44.4389542,29.284
192,43.4621468,29.351,44.4321487,29.457
193,43.4245148,29.551,44.4288834,29.614
194,43.4461937,29.677,44.423848,29.74
195,43.4422417,29.806,44.429158,29.926
196,43.4479675,29.99,44.4114655,30.053
197,43.4436035,30.142,44.4336479,30.205
198,43.4404678,30.27,44.4343269,30.337
199,43.4442863,30.454,44.4384087,30.524
200,43.4531479,30.587,44.41446,30.65
201,43.4262886,30.738,44.4403122,30.804
202,43.4273796,30.87,44.4011238,30.988
203,43.438015,31.051,44.4346016,31.115
204,43.4286079,31.179,44.4301079,31.242
205,43.4294243,31.338,44.4173172,31.466
206,43.4170189,31.53,44.426297,31.593
207,43.4217911,31.656,44.4294289,31.72
208,43.4455147,31.788,44.4283455,31.894
209,43.4126587,31.989,44.4343307,32.052
210,43.4163399,32.115,44.3959549,32.179
211,43.4273834,32.245,44.4203156,32.311
212,43.3928871,32.428,44.4038094,32.497
213,43.4124413,32.653,44.3955086,32.716
214,43.3918533,32.783,44.4259918,32.895
215,43.4043961,32.959,44.400544,33.022
216,43.3979874,33.085,44.4031303,33.149
217,43.3986702,33.237,44.3937386,33.306
218,43.4101219,33.425,44.4066666,33.488
219,43.4168053,33.551,44.3985031,33.614
