Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,32.6568699,0,33.1456623,0.064
2,32.6743965,0.127,33.1699791,0.19
3,32.6913643,0.253,33.1576138,0.316
4,32.6862183,0.379,33.1467743,0.442
5,32.69804,0.53,33.1640053,0.593
6,32.6970673,0.656,33.1560841,0.719
7,32.7101402,0.782,33.1735916,0.845
8,32.7144527,0.908,33.15275,0.971
9,32.6775951,1.059,33.1501102,1.123
10,32.6913643,1.192,33.1484432,1.255
11,32.6647987,1.319,33.1634483,1.39
12,32.6859398,1.454,33.154417,1.517
13,32.6636848,1.605,33.134407,1.668
14,32.6947021,1.731,33.1385765,1.794
15,32.6699448,1.857,33.1417732,1.92
16,32.6859398,1.983,33.1352425,2.047
17,32.6511669,2.135,33.1406612,2.198
18,32.6748123,2.261,33.1492767,2.325
19,32.6913643,2.39,33.144413,2.456
20,32.6364231,2.596,33.1194,2.814
21,32.6599312,2.953,33.1352425,3.016
22,32.6635475,3.079,33.1314888,3.143
23,32.6631298,3.213,33.141077,3.279
24,32.6745358,3.342,33.1364918,3.464
25,32.6812115,3.559,33.1246815,3.622
26,32.6620159,3.685,33.1264877,3.748
27,32.6504726,3.811,33.137743,3.936
28,32.6546459,4,33.1346855,4.063
29,32.6546459,4.151,33.1198177,4.214
30,32.6319714,4.285,33.1384373,4.351
31,32.6468563,4.463,33.1435795,4.533
32,32.6563148,4.597,33.1326008,4.66
33,32.6656342,4.822,33.1309338,4.891
34,32.6631298,4.996,33.1331577,5.059
35,32.6493587,5.123,33.1401043,5.186
36,32.6447697,5.249,33.1346855,5.317
37,32.643795,5.459,33.127737,5.522
38,32.6529751,5.585,33.1274605,5.649
39,32.6511669,5.713,33.1080055,5.776
40,32.6561756,5.845,33.118288,5.957
41,32.6518631,6.051,33.1209297,6.114
42,32.6792641,6.177,33.107172,6.24
43,32.6556187,6.306,33.0852146,6.372
44,32.6668854,6.484,33.1187057,6.553
45,32.6376743,6.641,33.1213455,6.705
46,32.6410141,6.769,33.0995293,6.835
47,32.6422653,6.954,33.1362152,7.017
48,32.6350327,7.08,33.1103668,7.144
49,32.648386,7.232,33.117733,7.296
50,32.6239033,7.363,33.1153698,7.479
51,32.6322498,7.543,33.0941086,7.606
52,32.6504726,7.669,33.1203728,7.732
53,32.6435165,7.829,33.1146755,7.941
54,32.6350327,8.01,33.0949421,8.074
55,32.6385098,8.138,33.097723,8.201
56,32.6276588,8.267,33.1039753,8.332
57,32.6399002,8.486,33.1194,8.549
58,32.6304417,8.612,33.107172,8.675
59,32.6177826,8.739,33.1091175,8.81
60,32.6073494,8.915,33.0877171,8.984
61,32.6315536,9.072,33.1123142,9.135
62,32.6411533,9.198,33.0899391,9.262
63,32.6218166,9.381,33.1002235,9.444
64,32.6244602,9.508,33.1006393,9.572
65,32.625433,9.661,33.0988312,9.725
66,32.6279373,9.794,33.0967484,9.911
67,32.6385078,9.974,33.0797939,10.037
68,32.63517,10.1,33.0889435,10.163
69,32.6172638,10.389,33.0768547,10.452
70,32.6322861,10.515,33.08144,10.578
71,32.6142025,10.645,33.080883,10.747
72,32.6232452,10.81,33.1100674,10.873
73,32.6224098,10.962,33.0938091,11.025
74,32.6484222,11.091,33.0945034,11.162
75,32.6244965,11.29,33.0885277,11.353
76,32.6194878,11.417,33.0826912,11.481
77,32.6424408,11.572,33.1010342,11.638
78,32.6588535,11.744,33.1015911,11.813
79,32.64258,11.876,33.0957527,11.939
80,32.6414661,12.003,33.0850525,12.073
81,32.6596889,12.225,33.1057587,12.288
82,32.6397972,12.352,33.0982552,12.415
83,32.648283,12.479,33.1065922,12.543
84,32.6663647,12.611,33.1090946,12.718
85,32.660244,12.811,33.1084003,12.874
86,32.638546,12.938,33.1024246,13.002
87,32.643692,13.071,33.0982552,13.192
88,32.6610794,13.255,33.1040916,13.318
89,32.6335392,13.407,33.0871372,13.471
90,32.6456394,13.538,33.0868607,13.659
91,32.6500912,13.722,33.1090946,13.785
92,32.6411896,13.849,33.0888062,13.912
93,32.6359024,14.001,33.0711555,14.069
94,32.632843,14.187,33.0682373,14.25
95,32.6264439,14.314,33.1106224,14.378
96,32.6435528,14.441,33.0846367,14.505
97,32.6418839,14.658,33.0838032,14.721
98,32.6407719,14.785,33.0903339,14.849
99,32.6238003,14.912,33.0975609,14.982
100,32.6320076,15.089,33.0963116,15.158
101,32.6521797,15.247,33.0933933,15.311
102,32.6571865,15.374,33.0926991,15.44
103,32.6366005,15.559,33.0858879,15.622
104,32.6296444,15.686,33.0946255,15.75
105,32.641573,15.911,33.0972652,15.983
106,32.6312809,16.101,33.1153297,16.164
107,32.629055,16.228,33.1090775,16.292
108,32.6585426,16.356,33.0994892,16.419
109,32.6613255,16.564,33.1025467,16.628
110,32.645607,16.691,33.1015739,16.754
111,32.6543713,16.817,33.1144962,16.886
112,32.6597958,16.992,33.0812836,17.061
113,32.6355915,17.15,33.1093559,17.213
114,32.6446342,17.276,33.1240845,17.339
115,32.6330891,17.407,33.1106052,17.525
116,32.6478329,17.588,33.1024075,17.651
117,32.639904,17.739,33.103241,17.805
118,32.6417122,17.871,33.098793,17.987
119,32.6684189,18.056,33.1050472,18.119
120,32.6439381,18.182,33.0935135,18.245
121,32.6379566,18.334,33.0733624,18.399
122,32.6440773,18.516,33.1015739,18.579
123,32.6504765,18.643,33.0817013,18.707
124,32.639904,18.77,33.0968475,18.841
125,32.6355915,18.983,33.0751686,19.046
126,32.6362877,19.11,33.0883713,19.174
127,32.6557617,19.237,33.0903168,19.305
128,32.6446342,19.412,33.084341,19.481
129,32.6294727,19.57,33.1039352,19.634
130,32.6422691,19.697,33.094347,19.761
131,32.619873,19.883,33.0873985,19.946
132,32.6297493,20.009,33.0925407,20.072
133,32.6375389,20.16,33.1000443,20.225
134,32.6461639,20.346,33.0975437,20.409
135,32.6077709,20.473,33.0885105,20.537
136,32.6180649,20.6,33.1061573,20.671
137,32.6425457,20.822,33.1097698,20.885
138,32.6332264,20.949,33.0857296,21.013
139,32.636425,21.076,33.0961514,21.142
140,32.6600723,21.208,33.1098442,21.314
141,32.6433144,21.475,33.0851078,21.538
142,32.6234226,21.602,33.114151,21.672
143,32.6117382,21.772,33.1002541,21.841
144,32.6355247,21.904,33.094696,21.967
145,32.6370544,22.055,33.0921955,22.12
146,32.6200848,22.24,33.105814,22.309
147,32.6448441,22.373,33.0927505,22.437
148,32.660284,22.5,33.1177635,22.566
149,32.6545811,22.716,33.1084538,22.779
150,32.640255,22.843,33.1083145,22.907
151,32.6324635,22.97,33.1103992,23.033
152,32.6437321,23.101,33.1140118,23.208
153,32.6460953,23.301,33.1133175,23.364
154,32.6426182,23.427,33.1245728,23.49
155,32.6174412,23.556,33.1059532,23.677
156,32.6593094,23.74,33.1206818,23.803
157,32.6410885,23.892,33.1020622,23.956
158,32.6541634,24.021,33.1217937,24.087
159,32.6409492,24.204,33.1021996,24.273
160,32.6587543,24.336,33.1033115,24.399
161,32.6605625,24.488,33.1088696,24.552
162,32.6495724,24.673,33.1311035,24.736
163,32.6346893,24.799,33.0889988,24.862
164,32.6317692,24.925,33.1131783,24.988
165,32.636776,25.08,33.1173477,25.208
166,32.6488781,25.271,33.0962238,25.334
167,32.6479034,25.397,33.115263,25.46
168,32.6515217,25.533,33.113596,25.648
169,32.6679344,25.742,33.1105385,25.805
170,32.6506863,25.869,33.101366,25.932
171,32.663065,26.007,33.0988655,26.114
172,32.6587543,26.183,33.0864944,26.246
173,32.644146,26.335,33.1240158,26.398
174,32.6531887,26.463,33.0980301,26.585
175,32.6701565,26.649,33.0928879,26.712
176,32.6502666,26.775,33.0953999,26.838
177,32.6530743,27.082,33.1148548,27.145
178,32.6658707,27.208,33.1222191,27.271
179,32.6785278,27.334,33.1131878,27.405
180,32.6742172,27.471,33.1042938,27.577
181,32.6785278,27.671,33.1370869,27.734
182,32.6733818,27.797,33.0981789,27.86
183,32.647789,27.926,33.1233311,27.99
184,32.6687927,28.106,33.1272221,28.169
185,32.6767197,28.258,33.1095734,28.322
186,32.6690712,28.392,33.1098518,28.458
187,32.6857605,28.574,33.125555,28.643
188,32.6909065,28.706,33.1190224,28.769
189,32.6895161,28.857,33.1012363,28.923
190,32.6922989,29.044,33.1023483,29.108
191,32.6847878,29.171,33.1136036,29.234
192,32.673521,29.298,33.1090183,29.369
193,32.6760254,29.519,33.1173553,29.582
194,32.6769981,29.646,33.1286106,29.709
195,32.6789455,29.773,33.1265278,29.843
196,32.6920204,29.909,33.1111031,30.015
197,32.6715736,30.109,33.1194401,30.172
198,32.7059288,30.235,33.1052666,30.298
199,32.7049541,30.363,33.1017914,30.484
200,32.6840916,30.547,33.1213856,30.61
201,32.6842308,30.699,33.1168003,30.762
202,32.6711559,30.828,33.1029034,30.892
203,32.6838131,31.009,33.1045704,31.072
204,32.6847878,31.135,33.1081848,31.198
205,32.6815891,31.294,33.1115189,31.36
206,32.7127438,31.476,33.0956764,31.545
207,32.6906281,31.609,33.1243038,31.673
208,32.698,31.736,33.1136036,31.806
209,32.6795025,31.957,33.1313896,32.02
210,32.6924362,32.083,33.1184673,32.146
211,32.6704617,32.209,33.1035976,32.28
212,32.6680965,32.353,33.1216736,32.471
213,32.6850224,32.627,33.1255646,32.691
214,32.686552,32.757,33.1049976,32.823
215,32.6935062,32.919,33.1044426,32.988
216,32.6950359,33.051,33.1119461,33.114
217,32.681406,33.202,33.0947151,33.272
218,32.6725044,33.382,33.1079178,33.451
219,32.6684704,33.514,33.1123638,33.577
220,32.6827965,33.641,33.0930481,33.712
221,32.6747303,33.863,33.1123638,33.926
222,32.6958714,33.99,33.1172276,34.054
223,32.6901684,34.117,33.0904064,34.187
224,32.6666622,34.253,33.0670605,34.359
225,32.6573429,34.453,33.0847092,34.516
226,32.6925335,34.58,33.0929089,34.644
227,32.6864128,34.71,33.0993004,34.829
228,32.6779289,34.893,33.0859604,34.957
229,32.6651325,35.046,33.1054153,35.11
230,32.6669407,35.173,33.1147251,35.239
231,32.6622124,35.355,33.0840149,35.424
232,32.6519184,35.487,33.0919361,35.55
233,32.6907253,35.639,33.0753975,35.704
234,32.6503887,35.829,33.0990238,35.892
235,32.6779289,35.955,33.0977726,36.018
236,32.6634636,36.082,33.0873489,36.152
237,32.6640205,36.306,33.0934639,36.37
238,32.6577606,36.433,33.075676,36.496
239,32.6453819,36.559,33.0787334,36.63
240,32.6580391,36.708,33.0874882,36.818
241,32.6570644,36.911,33.0762329,36.974
242,32.6587353,37.037,33.0652523,37.1
243,32.6462154,37.164,33.0502434,37.234
244,32.6553955,37.352,33.0770626,37.415
245,32.6387024,37.504,33.0824833,37.568
246,32.6441269,37.638,33.095129,37.703
247,32.6508045,37.83,33.093462,37.899
248,32.6304951,37.962,33.0915909,38.025
249,32.6291237,38.187,33.1020145,38.259
250,32.6645927,38.359,33.0867271,38.428
251,32.6511021,38.492,33.0945091,38.556
252,32.6511021,38.619,33.070467,38.685
253,32.6364956,38.779,33.0856152,38.906
254,32.6541615,38.974,33.0821419,39.037
255,32.6561089,39.1,33.0815849,39.164
256,32.6338539,39.235,33.0921478,39.301
257,32.6363564,39.441,33.0795002,39.504
258,32.6396961,39.567,33.0957603,39.63
259,32.634409,39.693,33.0856152,39.764
260,32.6505451,39.874,33.0904789,39.943
261,32.6223068,40.031,33.0882568,40.094
262,32.6358013,40.157,33.0832539,40.22
263,32.6284275,40.288,33.0738029,40.406
264,32.6392784,40.469,33.0846424,40.532
265,32.6369133,40.62,33.0933971,40.691
266,32.6192474,40.766,33.0790844,40.886
267,32.6115971,40.954,33.0915909,41.017
268,32.6173,41.081,33.0679665,41.144
269,32.6252289,41.235,33.0725517,41.358
270,32.6103439,41.422,33.0683823,41.485
271,32.6191082,41.548,33.0797787,41.612
272,32.6413651,41.677,33.0667152,41.743
273,32.6312103,41.888,33.0612946,41.952
274,32.5974083,42.016,33.064352,42.079
275,32.6179962,42.142,33.0600452,42.214
276,32.5964336,42.32,33.062685,42.39
277,32.6135445,42.478,33.0564308,42.541
278,32.5996323,42.604,33.0540676,42.67
279,32.6079807,42.791,33.063797,42.854
280,32.6003284,42.917,33.0505943,42.981
281,32.5996342,43.069,33.0487881,43.135
282,32.5937901,43.261,33.0475368,43.325
283,32.5964336,43.388,33.0503159,43.451
284,32.6051979,43.515,33.0572262,43.581
285,32.6210041,43.801,33.0390205,43.864
286,32.5920696,43.927,33.0390205,43.99
287,32.5888691,44.056,33.0440235,44.122
288,32.594574,44.22,33.0340176,44.283
289,32.5635509,44.371,33.0427723,44.434
290,32.5858097,44.497,33.0452747,44.566
291,32.5681419,44.682,33.0608406,44.751
292,32.5827484,44.814,33.0625076,44.878
293,32.5938778,44.966,33.0374908,45.032
294,32.5742626,45.096,33.0361023,45.203
295,32.5849743,45.272,33.0276241,45.335
296,32.5549259,45.398,33.0449963,45.462
297,32.5614643,45.616,33.0201187,45.68
298,32.5814972,45.744,33.0376301,45.807
299,32.5504723,45.87,33.0402718,45.933
300,32.5539513,46.002,33.0094166,46.109
301,32.5597935,46.203,33.0434685,46.266
302,32.5432377,46.329,33.0251217,46.392
303,32.5453262,46.455,33.0226212,46.578
304,32.5419865,46.641,33.0198402,46.704
305,32.5435162,46.793,33.0173378,46.857
306,32.5355873,46.921,33.0227585,47.043
307,32.5104027,47.106,33.0166435,47.17
308,32.5436554,47.234,33.0188675,47.297
309,32.5085945,47.39,33.0049686,47.512
310,32.5389252,47.576,33.018589,47.64
311,32.5323868,47.704,32.998991,47.768
312,32.5226479,47.838,33.0080261,47.904
313,32.5072041,48.045,33.0103893,48.108
314,32.4964886,48.171,32.9951,48.235
315,32.5269604,48.299,32.9934311,48.365
316,32.5212555,48.488,33.0128918,48.551
317,32.5010815,48.639,32.9920425,48.703
318,32.4963512,48.766,32.993988,48.829
319,32.4973259,48.897,32.9845371,49.004
320,32.4935684,49.073,32.9943123,49.136
321,32.5144444,49.292,33.0052929,49.358
322,32.4889812,49.424,33.0007057,49.541
323,32.4951038,49.61,32.9884739,49.673
324,32.5131931,49.736,33.0147438,49.8
325,32.5113831,49.889,32.9987602,50.008
326,32.5013657,50.071,32.996954,50.135
327,32.5158367,50.198,32.9722118,50.262
328,32.4953823,50.326,32.9866676,50.39
329,32.5278015,50.546,33.0093231,50.61
330,32.4960785,50.673,32.9898643,50.736
331,32.5045662,50.799,32.9906979,50.863
332,32.502758,50.985,32.9972305,51.055
333,32.5239067,51.143,32.9762421,51.206
334,32.4953823,51.269,32.9740181,51.333
335,32.4873123,51.396,32.9742966,51.527
336,32.5152798,51.591,32.9642887,51.655
337,32.464632,51.743,32.982914,51.808
338,32.4853649,51.874,32.9791603,51.996
339,32.4856434,52.065,32.9797173,52.128
340,32.5006695,52.191,32.976799,52.255
341,32.4949646,52.345,32.9976482,52.413
342,32.4996967,52.518,32.9713764,52.588
343,32.4939919,52.651,32.9809685,52.715
344,32.5129147,52.778,32.9831924,52.844
345,32.4988613,52.938,32.9669285,53.065
346,32.5059566,53.134,32.996397,53.198
347,32.4971924,53.261,32.9734612,53.324
348,32.4952431,53.387,32.995285,53.455
349,32.4746494,53.596,32.979578,53.66
350,32.4962177,53.723,32.9786053,53.787
351,32.4924603,53.851,32.9890308,53.917
352,32.50387,53.983,32.9831924,54.101
