Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,35.4016304,0,35.9924412,0.066
2,35.4420147,0.129,35.9920254,0.192
3,35.424036,0.255,35.9873295,0.318
4,35.434269,0.381,35.9672985,0.444
5,35.4291534,0.532,35.9690952,0.595
6,35.4360676,0.658,35.9764156,0.721
7,35.4575024,0.784,35.9877453,0.847
8,35.4414616,0.91,35.9808369,0.973
9,35.4346848,1.061,35.9670238,1.125
10,35.4364815,1.194,35.9931316,1.258
11,35.4316425,1.322,35.9826336,1.385
12,35.4427052,1.452,36.0102577,1.515
13,35.434269,1.603,35.9994869,1.666
14,35.4451962,1.729,35.9795933,1.793
15,35.4274921,1.856,35.9733791,1.92
16,35.4132481,1.984,35.9943752,2.047
17,35.4402161,2.136,35.9888477,2.199
18,35.439249,2.262,35.987608,2.326
19,35.4364815,2.39,35.9808369,2.454
20,35.4327488,2.607,35.969511,2.834
21,35.4432583,2.962,35.9805622,3.026
22,35.4255562,3.089,35.9910603,3.153
23,35.4258327,3.218,35.9969997,3.283
24,35.4328861,3.35,35.9671612,3.483
25,35.4222374,3.571,35.9718571,3.634
26,35.439249,3.697,35.9887104,3.76
27,35.4341316,3.835,35.984705,3.959
28,35.4071617,4.022,35.9849834,4.085
29,35.4291534,4.174,35.9840145,4.245
30,35.4183655,4.312,35.9605312,4.415
31,35.4449177,4.484,35.9860859,4.547
32,35.4175358,4.61,35.9746227,4.673
33,35.4050884,4.848,35.9525166,4.963
34,35.4042587,5.026,35.9485111,5.09
35,35.3969288,5.153,35.993269,5.217
36,35.4135246,5.295,35.9731007,5.402
37,35.4146309,5.496,35.9638462,5.56
38,35.4160137,5.624,35.9639835,5.687
39,35.4100666,5.757,35.9677143,5.863
40,35.4042587,5.932,35.9859486,5.995
41,35.399971,6.083,35.9598408,6.146
42,35.3931942,6.209,35.9634304,6.28
43,35.3886299,6.395,35.9750347,6.459
44,35.3938847,6.523,35.9667492,6.586
45,35.4108963,6.676,35.9559727,6.742
46,35.3958225,6.853,35.9682674,6.922
47,35.3978958,6.985,35.9610844,7.048
48,35.3978958,7.111,35.9719944,7.177
49,35.3700962,7.324,35.9550037,7.388
50,35.4013538,7.451,35.9583187,7.515
51,35.414217,7.578,35.9382877,7.648
52,35.3717556,7.714,35.9221249,7.816
53,35.387661,7.91,35.9672985,7.973
54,35.3730011,8.036,35.9585972,8.1
55,35.3765965,8.166,35.936491,8.231
56,35.3624878,8.346,35.9486485,8.409
57,35.3663616,8.497,35.9324856,8.56
58,35.3619347,8.626,35.952795,8.692
59,35.3673286,8.808,35.9329014,8.877
60,35.3727245,8.941,35.9442272,9.004
61,35.3743839,9.092,35.9447803,9.162
62,35.3463058,9.271,35.9240589,9.34
63,35.3655319,9.403,35.9395313,9.466
64,35.3710651,9.529,35.9395351,9.599
65,35.3555775,9.75,35.9177074,9.814
66,35.3359356,9.877,35.9244785,9.94
67,35.3475533,10.003,35.9316616,10.074
68,35.3387012,10.14,35.9481945,10.245
69,35.3330059,10.406,35.9552402,10.47
70,35.3461475,10.533,35.9390774,10.606
71,35.3588715,10.702,35.9405956,10.772
72,35.333559,10.836,35.9328594,10.9
73,35.353754,10.988,35.9237423,11.053
74,35.3353577,11.174,35.9553776,11.238
75,35.3403378,11.301,35.9184933,11.365
76,35.3342514,11.429,35.9412861,11.495
77,35.3353577,11.646,35.9470882,11.71
78,35.3389549,11.773,35.9242954,11.837
79,35.3507118,11.901,35.9205647,11.971
80,35.3518181,12.037,35.9306507,12.143
81,35.3580418,12.237,35.9415646,12.301
82,35.3559666,12.364,35.9404583,12.428
83,35.3494663,12.503,35.9365902,12.609
84,35.354723,12.678,35.9444637,12.742
85,35.3533401,12.83,35.9399052,12.893
86,35.358181,12.958,35.9350681,13.079
87,35.3623295,13.142,35.9444637,13.206
88,35.3572121,13.269,35.9201488,13.332
89,35.3786507,13.423,35.9411488,13.489
90,35.360117,13.604,35.9487476,13.673
91,35.3573513,13.736,35.9417019,13.799
92,35.3507118,13.862,35.942255,13.927
93,35.3816948,14.077,35.9472294,14.141
94,35.365097,14.204,35.9437733,14.267
95,35.3660641,14.33,35.9324436,14.393
96,35.3552761,14.464,35.939352,14.574
97,35.3504353,14.667,35.9229107,14.73
98,35.3419971,14.793,35.9300976,14.856
99,35.3544464,14.919,35.9253979,14.988
100,35.3368797,15.094,35.90592,15.162
101,35.3396454,15.251,35.9180775,15.314
102,35.3312092,15.38,35.9432201,15.446
103,35.3294106,15.575,35.9357624,15.644
104,35.3657875,15.708,35.9305553,15.771
105,35.3345718,15.936,35.9109364,16.002
106,35.3443928,16.109,35.9127331,16.172
107,35.3367844,16.235,35.9313831,16.299
108,35.3349876,16.362,35.9458904,16.435
109,35.3507557,16.575,35.9099712,16.639
110,35.336647,16.702,35.9225407,16.765
111,35.300127,16.828,35.9240627,16.896
112,35.3201847,17.001,35.9237843,17.07
113,35.3265495,17.159,35.9065151,17.222
114,35.3356781,17.286,35.9171543,17.352
115,35.3254414,17.472,35.899744,17.535
116,35.3244743,17.598,35.9055462,17.661
117,35.3277931,17.749,35.9103832,17.815
118,35.3223991,17.938,35.9135609,18.002
119,35.3059368,18.065,35.9286213,18.128
120,35.3430099,18.192,35.905962,18.262
121,35.3243351,18.412,35.9062405,18.475
122,35.3247509,18.538,35.9134235,18.601
123,35.308012,18.664,35.8958759,18.727
124,35.3135452,18.802,35.8761196,18.92
125,35.3264103,19.009,35.9163227,19.073
126,35.3110561,19.136,35.918951,19.202
127,35.3024788,19.268,35.900713,19.373
128,35.3211536,19.442,35.9163227,19.506
129,35.2890606,19.595,35.8976727,19.659
130,35.2878151,19.722,35.8899364,19.841
131,35.3147907,19.909,35.8953228,19.972
132,35.3087044,20.036,35.9051342,20.1
133,35.3064899,20.188,35.900713,20.306
134,35.3066292,20.37,35.9101086,20.433
135,35.3111935,20.497,35.8961544,20.561
136,35.288784,20.627,35.8755665,20.693
137,35.2876797,20.832,35.8722515,20.895
138,35.2883701,20.959,35.8962917,21.023
139,35.2898922,21.086,35.8878651,21.154
140,35.3067703,21.26,35.8985348,21.329
141,35.2814445,21.485,35.8986721,21.548
142,35.3034382,21.616,35.8972912,21.726
143,35.3001194,21.789,35.8809872,21.852
144,35.3158894,21.915,35.8823681,21.978
145,35.2914047,22.069,35.9267178,22.193
146,35.2955532,22.256,35.9220219,22.319
147,35.3157501,22.382,35.8943882,22.445
148,35.2919579,22.516,35.9007435,22.583
149,35.2869778,22.723,35.9006062,22.786
150,35.3023338,22.849,35.9077892,22.912
151,35.3158894,22.975,35.8809872,23.039
152,35.3113251,23.155,35.8872051,23.218
153,35.2912655,23.306,35.8851299,23.369
154,35.2969379,23.432,35.8887234,23.495
155,35.2926502,23.571,35.8927288,23.69
156,35.2967987,23.759,35.8941135,23.822
157,35.2775707,23.91,35.9122105,23.973
158,35.2886372,24.036,35.8711758,24.108
159,35.2934799,24.225,35.8855457,24.288
160,35.2995663,24.352,35.8750439,24.415
161,35.2775707,24.506,35.8749065,24.584
162,35.2565422,24.703,35.8587399,24.772
163,35.2651196,24.835,35.8655109,24.898
164,35.2703762,24.961,35.8431263,25.024
165,35.2439518,25.118,35.8914852,25.245
166,35.2665024,25.309,35.8382893,25.372
167,35.2565422,25.435,35.8557014,25.498
168,35.2624912,25.562,35.8606758,25.673
169,35.2576485,25.766,35.8498974,25.829
170,35.2494869,25.892,35.8576355,25.955
171,35.2496243,26.019,35.8550091,26.137
172,35.2530842,26.2,35.8460407,26.263
173,35.2341404,26.352,35.8547459,26.415
174,35.23843,26.481,35.8463173,26.603
175,35.258213,26.667,35.8546085,26.731
176,35.2441025,26.794,35.8578739,26.857
177,35.2169476,27.099,35.8574581,27.162
178,35.2357635,27.225,35.8556614,27.288
179,35.2443409,27.351,35.8538666,27.416
180,35.2460022,27.529,35.8389416,27.592
181,35.2522278,27.681,35.8592548,27.744
182,35.2482147,27.807,35.8577347,27.873
183,35.2566547,27.997,35.862709,28.06
184,35.2516727,28.123,35.8844013,28.186
185,35.2519512,28.275,35.8788738,28.338
186,35.2584534,28.406,35.8567677,28.523
187,35.2170849,28.587,35.8596687,28.651
188,35.2563782,28.714,35.8567677,28.777
189,35.2396374,28.93,35.8846798,28.993
190,35.2566547,29.056,35.8517933,29.12
191,35.2515354,29.183,35.8447456,29.248
192,35.2417126,29.314,35.8564911,29.42
193,35.2430954,29.513,35.8604984,29.576
194,35.2349339,29.639,35.8495827,29.702
195,35.2137642,29.765,35.8682365,29.887
196,35.2392216,29.951,35.8393574,30.014
197,35.2202682,30.103,35.8335533,30.166
198,35.2259407,30.231,35.8437786,30.35
199,35.216116,30.413,35.8499966,30.476
200,35.2192993,30.539,35.8200111,30.602
201,35.2134876,30.693,35.8238811,30.765
202,35.2097511,30.891,35.8330002,30.954
203,35.2206821,31.017,35.8180771,31.08
204,35.2123814,31.143,35.8292694,31.206
205,35.2040787,31.349,35.840601,31.412
206,35.2127953,31.475,35.83148,31.538
207,35.2198524,31.601,35.8368702,31.667
208,35.1949482,31.785,35.8318958,31.849
209,35.2175007,31.938,35.8421211,32.001
210,35.23106,32.064,35.8299618,32.127
211,35.1956406,32.196,35.846405,32.313
212,35.2064323,32.376,35.8291264,32.439
213,35.2207298,32.597,35.8240128,32.663
214,35.2084141,32.783,35.8516502,32.847
215,35.2012196,32.91,35.8252563,32.973
216,35.2226658,33.036,35.8432198,33.099
217,35.2102127,33.196,35.835207,33.313
218,35.2250175,33.381,35.8345146,33.444
219,35.2257099,33.508,35.8364506,33.572
220,35.2234974,33.635,35.8510971,33.704
221,35.2200375,33.844,35.8459835,33.907
222,35.2055092,33.97,35.831337,34.034
223,35.2048168,34.097,35.8115768,34.161
224,35.2001133,34.28,35.8345146,34.344
225,35.2055092,34.432,35.8209724,34.495
226,35.2157478,34.558,35.8382454,34.621
227,35.2031574,34.687,35.8052197,34.792
228,35.1992836,34.861,35.832304,34.924
229,35.2156105,35.013,35.8404579,35.076
230,35.2038498,35.148,35.8245659,35.267
231,35.2077236,35.336,35.8549652,35.4
232,35.1984539,35.463,35.8317509,35.526
