Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,40.3255844,0,41.1750412,0.064
2,40.3554916,0.127,41.1757278,0.19
3,40.3372459,0.253,41.1744919,0.316
4,40.3708572,0.379,41.166275,0.442
5,40.33601,0.53,41.1650429,0.593
6,40.3541222,0.656,41.1755867,0.719
7,40.3342285,0.782,41.1664124,0.845
8,40.3397141,0.908,41.1736717,0.971
9,40.3423233,1.058,41.1687393,1.122
10,40.3414993,1.19,41.1854515,1.253
11,40.3497314,1.316,41.1620293,1.379
12,40.3464394,1.443,41.1699715,1.506
13,40.3493195,1.594,41.1914787,1.657
14,40.3513756,1.72,41.1755867,1.783
15,40.3350525,1.846,41.1483307,1.909
16,40.3399887,1.972,41.165863,2.035
17,40.346302,2.124,41.1776428,2.187
18,40.3475342,2.251,41.169838,2.315
19,40.3320313,2.378,41.1703835,2.447
20,40.3248978,2.586,41.1569633,2.801
21,40.3073349,2.938,41.1717529,3.001
22,40.315567,3.065,41.1918869,3.128
23,40.3129616,3.198,41.1670952,3.264
24,40.3298378,3.398,41.1524429,3.461
25,40.3362846,3.549,41.1483307,3.612
26,40.3174896,3.675,41.1421661,3.742
27,40.2969093,3.812,41.1228561,3.932
28,40.3277779,3.995,41.1594276,4.059
29,40.3232536,4.148,41.1583328,4.213
30,40.2952614,4.279,41.1383324,4.4
31,40.3081589,4.469,41.131485,4.532
32,40.301712,4.595,41.1757278,4.659
33,40.3047295,4.891,41.1405258,4.954
34,40.3089828,5.017,41.1440849,5.081
35,40.2944374,5.144,41.1550446,5.212
36,40.3030815,5.305,41.1324425,5.374
37,40.3088455,5.462,41.169426,5.525
38,40.2975922,5.588,41.1384697,5.651
39,40.3043175,5.767,41.1609344,5.83
40,40.3015747,5.893,41.1395645,5.957
41,40.3113136,6.046,41.151207,6.109
42,40.3128242,6.226,41.1547699,6.289
43,40.3162537,6.352,41.141758,6.415
44,40.310627,6.478,41.1291542,6.541
45,40.3247604,6.688,41.1320305,6.751
46,40.3052788,6.814,41.1428528,6.877
47,40.3026695,6.94,41.138607,7.011
48,40.3170776,7.077,41.1676445,7.178
49,40.2991028,7.272,41.1279221,7.335
50,40.3113136,7.398,41.1428528,7.461
51,40.326683,7.533,41.1325798,7.638
52,40.2970467,7.707,41.148468,7.77
53,40.3025322,7.859,41.1394272,7.922
54,40.3058281,7.986,41.151207,8.105
55,40.3014374,8.168,41.1286087,8.231
56,40.2907333,8.294,41.140934,8.357
57,40.3032188,8.449,41.1288834,8.568
58,40.3052788,8.631,41.1166916,8.694
59,40.29142,8.757,41.1398392,8.821
60,40.2886772,8.892,41.1353188,8.967
61,40.2871666,9.111,41.1260071,9.175
62,40.3111763,9.238,41.1208,9.301
63,40.3104935,9.364,41.1461411,9.431
64,40.2765999,9.551,41.1491508,9.614
65,40.3076057,9.703,41.1191521,9.766
66,40.2923775,9.829,41.1344948,9.894
67,40.2809868,10.014,41.1112099,10.078
68,40.2973175,10.142,41.1211243,10.205
69,40.2869873,10.363,41.1160545,10.429
70,40.274498,10.535,41.1405716,10.604
71,40.2587204,10.667,41.1100273,10.73
72,40.2712059,10.793,41.1149597,10.856
73,40.2843781,11.009,41.1096153,11.072
74,40.2777939,11.136,41.1096153,11.199
75,40.2824554,11.263,41.1279716,11.326
76,40.2817726,11.392,41.1149597,11.515
77,40.2702446,11.604,41.1304359,11.667
78,40.2717552,11.73,41.1430397,11.793
79,40.2616005,11.86,41.1123543,11.984
80,40.286438,12.047,41.1274223,12.111
81,40.2836914,12.199,41.1093407,12.262
82,40.2858887,12.328,41.101944,12.398
83,40.2632484,12.503,41.117424,12.572
84,40.2760086,12.636,41.1283836,12.699
85,40.2666779,12.787,41.1133156,12.851
86,40.2670898,12.923,41.1219444,13.043
87,40.2757339,13.112,41.0966034,13.175
88,40.2653046,13.238,41.1374245,13.301
89,40.253231,13.39,41.0982475,13.46
90,40.2609138,13.576,41.1211243,13.645
91,40.279026,13.708,41.1009865,13.771
92,40.2488403,13.834,41.1160545,13.898
93,40.2709312,14.044,41.1122208,14.107
94,40.2492523,14.17,41.1222191,14.234
95,40.2580338,14.298,41.1229019,14.364
96,40.2607765,14.47,41.098793,14.539
97,40.2436256,14.627,41.1120834,14.69
98,40.2342911,14.753,41.1118088,14.822
