Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,43.3996735,0,44.3458565,0.064
2,43.4259872,0.127,44.3620499,0.19
3,43.4355316,0.253,44.3296593,0.316
4,43.3989906,0.379,44.332383,0.442
5,43.4148064,0.53,44.3334702,0.593
6,43.4247589,0.656,44.34953,0.719
7,43.4223061,0.782,44.3420456,0.845
8,43.4135818,0.908,44.3379639,0.971
9,43.4261246,1.059,44.3364647,1.123
10,43.4007645,1.191,44.3461273,1.254
11,43.4066277,1.317,44.3394592,1.38
12,43.3989906,1.443,44.345311,1.506
13,43.3999443,1.594,44.3255737,1.657
14,43.4149437,1.72,44.3424538,1.783
15,43.4217606,1.846,44.3176811,1.909
16,43.411808,1.973,44.3378265,2.037
17,43.4115372,2.126,44.3327873,2.189
18,43.400898,2.252,44.3288429,2.315
19,43.4153519,2.379,44.3277519,2.442
20,43.3811302,2.596,44.3013466,2.824
21,43.3845367,2.952,44.3058403,3.015
22,43.4000816,3.078,44.3326538,3.141
23,43.3849449,3.207,44.3363274,3.272
24,43.4018555,3.336,44.3428619,3.47
25,43.3995361,3.558,44.3201302,3.621
26,43.4094887,3.684,44.3304756,3.749
27,43.4126244,3.818,44.3155029,3.93
28,43.4036255,3.998,44.3357857,4.061
29,43.4105797,4.15,44.311692,4.213
30,43.399807,4.276,44.3086975,4.344
31,43.4112625,4.459,44.3270729,4.522
32,43.3820839,4.585,44.3134621,4.648
33,43.4051247,4.828,44.331292,4.949
34,43.3936729,5.012,44.3209465,5.076
35,43.3913536,5.139,44.3236702,5.202
36,43.4059448,5.275,44.334832,5.378
37,43.3914909,5.472,44.3118294,5.535
38,43.3946266,5.599,44.3199928,5.662
39,43.3931274,5.731,44.3118294,5.848
40,43.4199867,5.911,44.3227165,5.974
41,43.4220352,6.063,44.333062,6.126
42,43.4229889,6.192,44.3009384,6.309
43,43.398037,6.372,44.3378265,6.435
44,43.4213524,6.498,44.3217628,6.561
45,43.399128,6.654,44.3187683,6.771
46,43.3940811,6.834,44.3360565,6.897
47,43.4213524,6.96,44.2995766,7.023
48,43.3910828,7.094,44.3243492,7.16
49,43.3883553,7.296,44.3217628,7.359
50,43.3950348,7.422,44.3152321,7.485
51,43.3966713,7.548,44.3160484,7.618
52,43.4131699,7.721,44.3300674,7.79
