Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,40.2283554,0,41.0468292,0.064
2,40.2320633,0.127,41.0454597,0.19
3,40.2457848,0.253,41.0447769,0.316
4,40.2593689,0.379,41.0349121,0.442
5,40.2212181,0.53,41.0401192,0.593
6,40.2582703,0.656,41.04916,0.719
7,40.2530556,0.782,41.0573807,0.845
8,40.2537422,0.908,41.065464,0.971
9,40.2577209,1.059,41.0435448,1.123
10,40.2434502,1.191,41.0186081,1.254
11,40.2542915,1.317,41.0572433,1.387
12,40.2409821,1.451,41.0591621,1.515
13,40.2342567,1.603,41.030529,1.666
14,40.2499008,1.729,41.0382004,1.792
15,40.2455101,1.855,41.0343628,1.918
16,40.2471542,1.981,41.016964,2.045
17,40.2271194,2.134,41.0443649,2.197
18,40.2595062,2.26,41.0488853,2.323
19,40.2456474,2.386,41.0318985,2.453
20,40.2011833,2.689,41.0257339,2.864
21,40.236042,2.952,41.0277863,3.015
22,40.2547035,3.078,41.0440903,3.142
23,40.2338448,3.207,41.0139503,3.27
24,40.2466049,3.382,41.0065498,3.451
25,40.2584076,3.54,41.0401192,3.604
26,40.2320633,3.67,41.0357323,3.736
27,40.2124367,3.847,41.016964,3.916
28,40.2203979,3.979,41.0376511,4.042
29,40.2186127,4.131,41.0340919,4.201
30,40.2151833,4.307,41.0483398,4.376
31,40.2365875,4.44,41.0203896,4.504
32,40.2379608,4.567,41.022583,4.633
33,40.236454,4.845,41.0240898,4.909
34,40.2312393,4.972,41.0281982,5.035
35,40.2507248,5.099,41.0097008,5.166
36,40.2131233,5.261,41.0197029,5.324
37,40.2231407,5.412,41.0135384,5.475
38,40.22575,5.54,41.008194,5.606
39,40.2173767,5.717,41.005043,5.786
40,40.2234154,5.849,41.0247726,5.912
41,40.2132607,6.001,41.0310745,6.067
42,40.2219048,6.183,41.0195656,6.246
43,40.2209473,6.309,41.0131264,6.372
44,40.229454,6.436,41.0098381,6.506
45,40.212986,6.651,41.0076485,6.714
46,40.188282,6.777,41.0044975,6.84
47,40.2040672,6.903,41.0136757,6.966
48,40.1888313,7.04,41.030529,7.155
49,40.2099686,7.243,41.0379257,7.306
50,40.2011833,7.369,40.988327,7.44
51,40.1863632,7.507,40.9909325,7.609
52,40.224102,7.677,41.0036736,7.74
53,40.2046165,7.829,41.016964,7.893
54,40.196106,7.959,41.0060043,8.076
55,40.1983032,8.139,41.0291595,8.202
56,40.1999474,8.265,41.0190201,8.328
57,40.193222,8.416,41.0144997,8.487
58,40.1958313,8.603,41.0154572,8.666
59,40.2031059,8.729,40.9850388,8.792
60,40.1836166,8.855,41.0173759,8.927
61,40.1924019,9.067,41.005867,9.13
62,40.194046,9.193,41.0101128,9.256
63,40.2021446,9.32,40.9909325,9.383
64,40.1792259,9.501,40.9932632,9.57
65,40.1826591,9.659,41.0075111,9.722
66,40.1751099,9.785,40.9929886,9.85
67,40.1929512,9.913,40.9961395,10.021
68,40.1814232,10.09,41.0014381,10.154
69,40.1958847,10.31,41.0007515,10.374
70,40.1917686,10.438,41.0037689,10.542
71,40.2234688,10.611,41.0239067,10.674
72,40.2071381,10.737,41.0117149,10.8
73,40.2366447,10.888,41.0193863,10.96
74,40.208786,11.08,41.0047264,11.148
75,40.2156487,11.211,40.9963684,11.274
76,40.2119408,11.337,40.9719772,11.4
77,40.186142,11.567,40.9986992,11.63
78,40.2098846,11.693,40.991848,11.756
79,40.1827087,11.819,40.9984245,11.89
80,40.1969833,11.965,40.9792404,12.074
81,40.1873779,12.167,40.9849968,12.23
82,40.1785927,12.293,40.9878731,12.356
83,40.1851807,12.419,40.9695129,12.54
84,40.1704941,12.603,40.9930801,12.666
85,40.1842194,12.755,40.9712944,12.818
86,40.1479874,12.886,40.9707451,13.006
87,40.1661034,13.069,40.966362,13.133
88,40.1670647,13.196,40.9712944,13.259
89,40.1669273,13.351,40.9875984,13.421
90,40.1758499,13.538,40.9693756,13.601
91,40.177494,13.664,40.9888306,13.727
92,40.1828461,13.79,40.9873238,13.862
93,40.2085114,14.002,40.9781456,14.065
94,40.1916313,14.128,40.9697876,14.191
95,40.2160568,14.254,40.9526596,14.325
96,40.2065887,14.43,40.9819794,14.498
97,40.1829834,14.586,40.9795151,14.649
98,40.202198,14.712,40.9707451,14.778
99,40.173378,14.898,40.9934921,14.962
