Item,CH108_8_C(1)(1),CH108_Time_SEC(1)(1),CH116_16_C(1)(1),CH116_Time_SEC(1)(1),
138,30.2193871,25.887,30.3294964,26.007,
139,30.2156315,26.088,30.3208714,26.169,
140,30.2129879,26.25,30.3179741,26.333,
141,30.2288399,26.555,30.3291054,26.636,
142,30.2355156,26.717,30.3238182,26.808,
143,30.2156239,26.918,30.3289661,26.998,
144,30.2484531,27.079,30.3029461,27.16,
145,30.2011566,27.307,30.3195038,27.388,
146,30.2197971,27.469,30.3172779,27.55,
147,30.232317,27.636,30.2920933,27.723,
148,30.2079735,27.844,30.3239574,27.925,
149,30.2367687,28.032,30.3176956,28.118,
150,30.2093639,28.208,30.3224258,28.328,
151,30.2211876,28.409,30.3032246,28.49,
152,30.2224407,28.571,30.3299389,28.656,
153,30.2371845,28.799,30.3292427,28.88,
154,30.2231369,28.961,30.316721,29.042,
155,30.2170143,29.137,30.318531,29.258,
156,30.2285614,29.339,30.3061466,29.42,
157,30.2018528,29.532,30.306982,29.617,
158,30.1919746,29.738,30.3405132,29.819,
159,30.2186852,29.9,30.3099041,29.981,
160,30.1894703,30.065,30.3307743,30.194,
161,30.2175713,30.301,30.3313313,30.382,
162,30.2192402,30.468,30.3119907,30.556,
163,30.2192402,30.676,30.3381481,30.757,
164,30.2101994,30.838,30.3217297,30.919,
165,30.2164593,31.067,30.3259048,31.148,
166,30.2018528,31.229,30.3147736,31.31,
167,30.1979561,31.396,30.2907028,31.483,
168,30.2218838,31.604,30.3228436,31.685,
169,30.213398,31.791,30.331192,31.877,
170,30.1921139,31.965,30.3220081,32.086,
171,30.2246666,32.167,30.3061466,32.248,
172,30.2113113,32.329,30.3233967,32.412,
173,30.1875191,32.547,30.322979,32.628,
174,30.2001781,32.709,30.3083687,32.79,
175,30.2004566,32.881,30.3342476,33.002,
176,30.220768,33.083,30.3109779,33.164,
177,30.2082405,33.362,30.3269787,33.462,
178,30.2072659,33.543,30.3183517,33.624,
179,30.2208996,33.705,30.3225269,33.791,
180,30.1875114,33.879,30.3305969,34.008,
181,30.195858,34.114,30.3285084,34.195,
182,30.1929379,34.281,30.2704868,34.367,
183,30.2026749,34.488,30.3201618,34.569,
184,30.2296619,34.65,30.3289261,34.731,
185,30.2068481,34.879,30.3095856,34.959,
186,30.2202034,35.04,30.3197441,35.121,
187,30.2282715,35.207,30.3155689,35.294,
188,30.2131081,35.414,30.2940025,35.494,
189,30.2138042,35.6,30.3226662,35.681,
190,30.1904335,35.764,30.3241959,35.893,
191,30.2106056,35.974,30.3314304,36.055,
192,30.2156124,36.136,30.3308735,36.231,
193,30.2124138,36.366,30.3218307,36.447,
194,30.2011452,36.528,30.3349094,36.609,
195,30.1876507,36.693,30.3363018,36.822,
196,30.2103271,36.903,30.318491,36.984,
197,30.2111607,37.096,30.3116741,37.182,
198,30.2025375,37.303,30.3136215,37.384,
199,30.209631,37.465,30.3299007,37.546,
200,30.2108841,37.629,30.2816181,37.758,
201,30.2087975,37.864,30.3130646,37.945,
202,30.2341137,38.031,30.3101425,38.117,
203,30.2156124,38.238,30.3186302,38.319,
204,30.2190914,38.4,30.3376923,38.481,
205,30.1811123,38.628,30.306385,38.708,
206,30.2232647,38.789,30.3088913,38.87,
207,30.2081013,38.956,30.3026295,39.042,
208,30.213665,39.163,30.3205776,39.244,
209,30.2036476,39.351,30.315567,39.437,
210,30.2160282,39.524,30.3223858,39.644,
211,30.2129688,39.725,30.3229427,39.806,
212,30.2017002,39.887,30.3108997,39.97,
213,30.2204208,40.192,30.3242569,40.273,
214,30.1806355,40.359,30.3011589,40.446,
215,30.2095718,40.557,30.3160477,40.638,
216,30.2233429,40.719,30.3166046,40.8,
217,30.210268,40.947,30.3274555,41.028,
218,30.1898174,41.109,30.295454,41.19,
219,30.2024765,41.276,30.2944794,41.363,
220,30.1984425,41.484,30.3182735,41.565,
221,30.201086,41.671,30.3401184,41.752,
222,30.2072067,41.836,30.2955933,41.946,
223,30.2045631,42.027,30.3107605,42.108,
224,30.2243176,42.189,30.3088112,42.275,
225,30.2206993,42.427,30.3107605,42.508,
226,30.1906509,42.589,30.3018551,42.67,
