Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,35.8518772,0,36.491539,0.064
2,35.854641,0.127,36.472908,0.19
3,35.8708057,0.253,36.4678001,0.316
4,35.8625164,0.379,36.4691811,0.442
5,35.8803425,0.53,36.4788399,0.593
6,35.8603058,0.656,36.4646263,0.719
7,35.8727398,0.782,36.4613152,0.845
8,35.8591995,0.908,36.4520683,0.971
9,35.8428955,1.059,36.4629707,1.123
10,35.874815,1.191,36.4600716,1.254
11,35.8540878,1.318,36.4853287,1.388
12,35.8475933,1.452,36.4734612,1.516
13,35.8527069,1.605,36.472908,1.669
14,35.8673534,1.732,36.4568977,1.795
15,35.8654175,1.858,36.4693184,1.921
16,35.8622398,1.985,36.4893303,2.049
17,35.8629322,2.138,36.488224,2.202
18,35.8712215,2.265,36.498436,2.329
19,35.8643131,2.399,36.47332,2.466
20,35.8670769,2.605,36.445446,2.82
21,35.8673534,2.958,36.4862938,3.022
22,35.8930531,3.085,36.4560699,3.149
23,35.8818607,3.219,36.4792557,3.285
24,35.8694248,3.406,36.487812,3.475
25,35.8868351,3.563,36.4631081,3.626
26,35.8726025,3.69,36.4846382,3.756
27,35.8666611,3.872,36.4875336,3.935
28,35.8764706,3.998,36.4450302,4.062
29,35.8608589,4.15,36.491539,4.216
30,35.8567123,4.337,36.4545517,4.4
31,35.8535347,4.463,36.4811859,4.527
32,35.8676281,4.591,36.4453049,4.657
33,35.8597527,4.871,36.4646263,4.934
34,35.8590622,4.997,36.4833946,5.06
35,35.8901501,5.125,36.4774628,5.228
36,35.8717747,5.292,36.4698715,5.355
37,35.8460732,5.443,36.4787025,5.506
38,35.875227,5.573,36.4643517,5.694
39,35.8894596,5.758,36.464489,5.821
40,35.879652,5.884,36.470974,5.948
41,35.880064,6.037,36.4671097,6.106
42,35.8930531,6.221,36.4755287,6.285
43,35.8739834,6.349,36.4544144,6.413
44,35.8873882,6.477,36.472908,6.546
45,35.8698387,6.683,36.4559326,6.747
46,35.8564377,6.81,36.4734612,6.873
47,35.8486996,6.937,36.4567604,7.004
48,35.8496666,7.107,36.4649048,7.176
49,35.8808918,7.264,36.4678001,7.327
50,35.8788204,7.39,36.4345436,7.455
51,35.8531208,7.571,36.4442024,7.634
52,35.8608589,7.697,36.4524841,7.761
53,35.8572655,7.849,36.4517937,7.914
54,35.8286629,7.984,36.4389572,8.108
55,35.856575,8.171,36.4505501,8.235
56,35.8321171,8.298,36.4408913,8.362
57,35.8366776,8.506,36.4655952,8.569
58,35.865694,8.632,36.4233627,8.696
59,35.8395786,8.759,36.4215698,8.829
60,35.8210621,8.907,36.4050064,9.017
61,35.8451061,9.111,36.4163246,9.174
62,35.8408222,9.238,36.4385452,9.301
63,35.8420658,9.366,36.4217072,9.488
64,35.8460732,9.551,36.4124489,9.614
65,35.8460655,9.702,36.4237671,9.766
66,35.8352871,9.831,36.4124489,9.952
67,35.8166313,10.015,36.4056854,10.079
68,35.8307266,10.142,36.3874817,10.206
69,35.8214836,10.444,36.3927269,10.508
70,35.82411,10.572,36.3931389,10.635
71,35.8206539,10.698,36.3968658,10.768
72,35.8167858,10.864,36.3918991,10.933
73,35.7960567,11.021,36.3825111,11.085
74,35.7934322,11.149,36.3601494,11.224
75,35.7713203,11.33,36.3805809,11.399
76,35.7641335,11.463,36.367054,11.527
77,35.7555637,11.616,36.3699532,11.682
78,35.7483768,11.799,36.3891373,11.862
79,35.7534904,11.925,36.3328209,11.989
80,35.7532139,12.052,36.3514557,12.123
81,35.7453365,12.274,36.3415146,12.338
82,35.7476864,12.401,36.3638763,12.465
83,35.7482395,12.529,36.3433113,12.6
84,35.7555637,12.666,36.3538017,12.772
85,35.7550106,12.865,36.3589096,12.928
86,35.7523861,12.991,36.3549042,13.055
87,35.7646866,13.13,36.3453827,13.237
88,35.7732544,13.305,36.357666,13.368
89,35.7742214,13.456,36.345932,13.52
90,35.7454758,13.588,36.3317146,13.709
91,35.757637,13.772,36.3543549,13.836
92,35.7496204,13.9,36.3442764,13.963
93,35.7465801,14.053,36.3493843,14.124
94,35.7337265,14.242,36.3500748,14.305
95,35.7638569,14.368,36.3604279,14.431
96,35.7534904,14.495,36.3571129,14.558
97,35.75667,14.712,36.3384781,14.775
98,35.7548733,14.838,36.3544922,14.902
99,35.7680035,14.965,36.3496628,15.034
100,35.7637177,15.141,36.3538055,15.21
101,35.7516975,15.299,36.3311691,15.363
102,35.7508698,15.426,36.3569794,15.49
103,35.7358036,15.559,36.3515968,15.676
104,35.7418861,15.739,36.3497734,15.803
105,35.7413273,15.959,36.3167801,16.027
106,35.7505875,16.133,36.333622,16.202
107,35.7369041,16.265,36.347702,16.329
108,35.7436771,16.392,36.3235474,16.455
109,35.7648239,16.608,36.3450813,16.671
110,35.746027,16.734,36.374897,16.797
111,35.7496204,16.86,36.3268585,16.931
112,35.7503109,16.997,36.3539162,17.117
113,35.7461662,17.211,36.351017,17.274
114,35.7500343,17.337,36.3281021,17.4
115,35.750864,17.466,36.3387299,17.53
116,35.74893,17.636,36.3206482,17.705
117,35.7395306,17.793,36.3241005,17.857
118,35.746994,17.922,36.3350029,17.988
119,35.743124,18.107,36.3200951,18.176
120,35.7257099,18.239,36.3322411,18.303
121,35.7255707,18.391,36.3155403,18.454
122,35.7248802,18.531,36.3256149,18.641
123,35.7439537,18.71,36.3437004,18.774
124,35.7234993,18.837,36.3443909,18.9
125,35.7540436,18.99,36.3078079,19.056
126,35.7389793,19.183,36.3347282,19.252
127,35.7317924,19.315,36.3362465,19.379
128,35.7514172,19.443,36.3189888,19.507
129,35.7367668,19.652,36.306015,19.715
130,35.7333107,19.778,36.323822,19.842
131,35.7309628,19.905,36.2938652,19.974
132,35.7102299,20.08,36.3108444,20.149
133,35.7178307,20.237,36.2931747,20.3
134,35.7045631,20.363,36.2922096,20.428
135,35.7211494,20.552,36.3245125,20.615
136,35.7100906,20.678,36.3149872,20.742
137,35.7100906,20.83,36.3009071,20.896
138,35.7211494,21.021,36.2837868,21.084
139,35.7042866,21.147,36.3156776,21.211
140,35.7150669,21.275,36.3027191,21.345
141,35.7096539,21.563,36.2947121,21.627
142,35.712141,21.691,36.2918129,21.754
143,35.6923752,21.818,36.2828369,21.888
144,35.6983185,21.986,36.2918129,22.049
145,35.6806259,22.137,36.2825623,22.2
146,35.6842194,22.263,36.2855988,22.333
147,35.6665268,22.449,36.2582626,22.518
148,35.6952782,22.582,36.2637863,22.645
149,35.6954155,22.733,36.278698,22.8
150,35.6615505,22.92,36.2628212,22.984
151,35.7028809,23.047,36.2597847,23.111
152,35.6853256,23.174,36.265995,23.244
153,35.6735764,23.394,36.2683411,23.457
154,35.7055054,23.52,36.290432,23.583
155,35.6560211,23.646,36.273037,23.717
156,35.6929283,23.783,36.2650299,23.89
157,35.6903019,23.984,36.2832527,24.047
158,35.6683235,24.11,36.2677917,24.174
159,35.6815929,24.246,36.2633743,24.355
160,35.7106209,24.424,36.2858772,24.488
161,35.6800728,24.576,36.2613029,24.64
162,35.6843586,24.704,36.2646141,24.823
163,35.6730232,24.886,36.2688942,24.95
164,35.6673565,25.014,36.2506714,25.077
165,35.6727467,25.167,36.2357597,25.234
166,35.6633472,25.352,36.2566071,25.415
167,35.6565742,25.478,36.265995,25.542
168,35.6557446,25.606,36.240593,25.678
169,35.6263008,25.822,36.2473564,25.885
170,35.6435795,25.948,36.2328606,26.011
171,35.651598,26.074,36.2512245,26.141
172,35.6597538,26.205,36.2328606,26.311
173,35.6538086,26.406,36.2711029,26.47
174,35.6637611,26.534,36.2571564,26.605
175,35.6894722,26.671,36.2785568,26.787
176,35.6850471,26.856,36.2857666,26.919
177,35.6712151,27.075,36.2567749,27.145
178,35.6667919,27.21,36.2302666,27.316
179,35.6767445,27.38,36.263401,27.444
180,35.6860046,27.507,36.2559471,27.571
181,35.6647186,27.668,36.262989,27.784
182,35.6963711,27.853,36.2551193,27.917
183,35.6897373,27.981,36.2707214,28.045
184,35.6948528,28.11,36.2671318,28.185
185,35.6855907,28.33,36.2744484,28.394
186,35.6889076,28.458,36.2755508,28.521
187,35.6998272,28.584,36.2558098,28.648
188,35.6854534,28.767,36.242691,28.83
189,35.6719074,28.918,36.2555313,28.981
190,35.6929169,29.044,36.2542915,29.108
191,35.6879406,29.186,36.2251587,29.306
192,35.6825504,29.375,36.2208786,29.438
193,35.682827,29.526,36.2473869,29.59
194,35.687664,29.654,36.2523575,29.722
195,35.6807518,29.84,36.2562218,29.904
196,35.6678982,29.968,36.2657509,30.032
197,35.6607094,30.123,36.22295,30.198
198,35.6616764,30.317,36.2567749,30.387
199,35.6724586,30.45,36.2299919,30.514
200,35.6688652,30.578,36.2136993,30.649
201,35.6508942,30.804,36.2302666,30.867
202,35.6525536,30.931,36.2360649,30.995
203,35.6571159,31.058,36.2281952,31.121
204,35.6419086,31.194,36.2230873,31.309
205,35.6618156,31.403,36.2344093,31.467
206,35.6525536,31.531,36.2377205,31.595
207,35.634306,31.661,36.2247429,31.731
208,35.6528301,31.841,36.236618,31.91
209,35.6394196,31.998,36.2041702,32.061
210,35.6475754,32.124,36.2073441,32.194
211,35.6403885,32.258,36.2132835,32.385
212,35.6394196,32.448,36.2096252,32.511
213,35.6515331,32.668,36.2230186,32.734
214,35.6378479,32.84,36.1940231,32.909
215,35.6319027,32.972,36.2202568,33.035
216,35.6276169,33.098,36.1919518,33.168
217,35.6392288,33.261,36.1916771,33.377
218,35.6276169,33.446,36.2130775,33.509
219,35.6494598,33.572,36.1959572,33.636
220,35.6179409,33.7,36.2195663,33.769
221,35.6497364,33.91,36.217083,33.973
