Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,29.9076042,0,30.3976326,0.064
2,29.919241,0.127,30.419899,0.19
3,29.9390068,0.253,30.4004326,0.316
4,29.9503613,0.379,30.4361439,0.442
5,29.9367638,0.53,30.4378242,0.593
6,29.9348011,0.656,30.4008522,0.719
7,29.9626961,0.782,30.3983326,0.845
8,29.9440536,0.908,30.4250813,0.971
9,29.9329777,1.059,30.4053345,1.123
10,29.9500809,1.192,30.4063148,1.255
11,29.9376049,1.318,30.3949718,1.389
12,29.9360619,1.453,30.3892288,1.517
13,29.9249878,1.605,30.4088364,1.669
14,29.9626961,1.732,30.3990326,1.796
15,29.9441929,1.859,30.4077148,1.922
16,29.9561081,1.986,30.4183578,2.049
17,29.9401283,2.138,30.3888092,2.201
18,29.9572296,2.264,30.4075756,2.328
19,29.9534454,2.399,30.412056,2.465
20,29.9488182,2.604,30.3780251,2.819
21,29.9388657,2.958,30.4103756,3.021
22,29.9263897,3.084,30.3743839,3.147
23,29.9437733,3.21,30.3976326,3.281
24,29.9263897,3.344,30.3872681,3.465
25,29.936903,3.558,30.4011326,3.621
26,29.9422302,3.684,30.4149971,3.755
27,29.9411087,3.827,30.3980522,3.939
28,29.9404087,4.008,30.4016933,4.071
29,29.9506416,4.159,30.4221401,4.223
30,29.9531651,4.287,30.3809662,4.357
31,29.9554081,4.471,30.4022541,4.534
32,29.9523239,4.598,30.4144382,4.662
33,29.9314365,4.842,30.4137363,4.947
34,29.936203,5.016,30.3988934,5.079
35,29.925127,5.142,30.4029541,5.206
36,29.951622,5.271,30.4214401,5.338
37,29.9399872,5.473,30.400713,5.536
38,29.9357815,5.6,30.3969326,5.664
39,29.9308758,5.727,30.3903503,5.795
40,29.948679,5.901,30.4047737,5.97
41,29.9388657,6.059,30.3927307,6.123
42,29.9248466,6.186,30.3944111,6.25
43,29.928072,6.323,30.3991718,6.444
44,29.9314365,6.508,30.3820858,6.572
45,29.9413891,6.661,30.4072952,6.731
46,29.9186802,6.797,30.39217,6.908
47,29.9446125,6.977,30.4102364,7.04
48,29.9485378,7.103,30.3973522,7.167
49,29.9333992,7.256,30.3837681,7.32
50,29.9402676,7.434,30.3904896,7.497
51,29.9273701,7.561,30.4218597,7.625
