Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,35.5082664,0,36.1318741,0.064
2,35.5432491,0.127,36.1093597,0.19
3,35.5263805,0.253,36.1136436,0.316
4,35.5331554,0.379,36.1271782,0.442
5,35.5507145,0.53,36.110466,0.593
6,35.50564,0.656,36.1119843,0.719
7,35.5079899,0.782,36.1089478,0.845
8,35.5482273,0.908,36.0961037,0.971
9,35.51684,1.059,36.1043892,1.123
10,35.5154572,1.192,36.0944443,1.256
11,35.5179462,1.32,36.1166801,1.385
12,35.5404835,1.449,36.1349106,1.512
13,35.5406227,1.6,36.1311798,1.663
14,35.5309429,1.726,36.1231728,1.789
15,35.5356445,1.852,36.1292496,1.915
16,35.5216789,1.978,36.1175079,2.041
17,35.5344009,2.129,36.0979004,2.192
18,35.5323257,2.256,36.1106033,2.319
19,35.5321884,2.385,36.1077042,2.451
20,35.5207119,2.59,36.0898895,2.805
21,35.5190525,2.943,36.0959663,3.007
22,35.5262413,3.071,36.1010742,3.134
23,35.5160103,3.197,36.1053581,3.261
24,35.5034275,3.334,36.1021805,3.454
25,35.5165634,3.547,36.0922356,3.611
26,35.4970665,3.675,36.0810471,3.738
27,35.4984493,3.802,36.1025925,3.866
28,35.5017681,3.978,36.0977592,4.047
29,35.4996929,4.135,36.1140556,4.198
30,35.5037041,4.263,36.0742798,4.329
31,35.4911194,4.441,36.1096382,4.51
32,35.5115852,4.573,36.0759392,4.636
33,35.4889069,4.792,36.0959663,4.859
34,35.4916725,4.96,36.0788383,5.029
35,35.5129681,5.093,36.0803566,5.156
36,35.5009384,5.219,36.1095009,5.283
37,35.4983101,5.429,36.0891991,5.493
38,35.5223713,5.556,36.0798073,5.619
39,35.4925022,5.682,36.0788383,5.745
40,35.5081272,5.809,36.0972061,5.924
41,35.4839287,6.012,36.0824318,6.075
42,35.4937477,6.138,36.0930634,6.201
43,35.5038414,6.267,36.0759392,6.338
44,35.4666443,6.439,36.0770454,6.509
45,35.4796429,6.597,36.0847778,6.66
46,35.5003853,6.723,36.0775948,6.789
47,35.491396,6.859,36.0669632,6.99
48,35.4814396,7.053,36.0862961,7.116
49,35.4895992,7.204,36.085331,7.27
50,35.5144882,7.345,36.0716591,7.46
51,35.4890461,7.529,36.0842247,7.592
52,35.5007992,7.656,36.0523186,7.719
53,35.4988632,7.811,36.059227,7.931
54,35.5142117,7.994,36.0780106,8.058
55,35.4898758,8.122,36.0756607,8.185
56,35.5038414,8.256,36.0883675,8.322
57,35.507021,8.464,36.0675125,8.527
58,35.4951305,8.59,36.0773201,8.653
59,35.5207119,8.716,36.0632324,8.784
60,35.4951305,8.889,36.0878181,8.959
61,35.4970665,9.047,36.0789757,9.11
62,35.5007992,9.173,36.0771828,9.239
63,35.4960976,9.359,36.059227,9.423
64,35.4844818,9.486,36.0635033,9.549
65,35.4736938,9.638,36.0532837,9.704
66,35.4569607,9.828,36.0520401,9.892
67,35.4635983,9.955,36.0897484,10.018
68,35.4699593,10.081,36.0555649,10.146
69,35.462328,10.364,36.0557022,10.427
70,35.4577637,10.491,36.0860901,10.554
71,35.4718685,10.621,36.0831871,10.722
72,35.4861126,10.786,36.0667534,10.849
73,35.4715939,10.937,36.0616417,11
74,35.4692421,11.066,36.0612259,11.131
75,35.461359,11.249,36.0586052,11.312
76,35.4717312,11.375,36.0673065,11.438
77,35.4679966,11.534,36.0450668,11.6
78,35.4749107,11.714,36.0621948,11.783
79,35.470211,11.846,36.0574989,11.909
80,35.4637108,11.972,36.0795975,12.038
81,35.4700718,12.188,36.067028,12.251
82,35.4910908,12.314,36.056118,12.377
83,35.460392,12.44,36.0863647,12.51
84,35.4753265,12.576,36.0779381,12.681
85,35.4807186,12.775,36.0663376,12.838
86,35.468689,12.901,36.0420303,12.965
87,35.4617748,13.028,36.0570831,13.151
88,35.4670296,13.215,36.0798721,13.278
89,35.4666157,13.366,36.0516968,13.429
90,35.4670296,13.495,36.023243,13.561
91,35.4572105,13.678,36.0511436,13.741
92,35.4602528,13.804,36.04562,13.867
93,35.4343929,13.955,36.0460358,14.024
94,35.4471149,14.14,36.0657845,14.209
95,35.4471149,14.273,36.0410614,14.336
96,35.4426899,14.399,36.0291824,14.462
97,35.4551353,14.615,36.0514221,14.678
98,35.4213924,14.741,36.0460358,14.804
99,35.4475307,14.867,36.0271111,14.931
100,35.4327335,14.997,36.0344315,15.103
101,35.4283066,15.198,36.037056,15.262
102,35.4316254,15.325,36.0460358,15.388
103,35.4390945,15.452,36.0247612,15.519
104,35.4274769,15.637,36.0435143,15.7
105,35.4266987,15.856,36.0454445,15.919
106,35.4326458,15.988,36.0316353,16.094
107,35.4372101,16.163,36.0309448,16.227
108,35.4316769,16.291,36.0230675,16.354
109,35.4044323,16.442,36.0140915,16.511
110,35.4110699,16.617,36.0241737,16.686
111,35.4037399,16.749,36.0287323,16.812
112,35.4236565,16.875,36.0151978,16.944
113,35.4174328,17.084,36.0183716,17.147
114,35.4042931,17.21,36.0335655,17.273
115,35.4380379,17.336,36.0368843,17.406
116,35.4188156,17.511,36.0295601,17.58
117,35.4067822,17.669,36.0201683,17.733
118,35.3921223,17.796,36.0299759,17.86
119,35.4134216,17.978,36.005249,18.041
120,35.3975163,18.104,36.0204468,18.167
121,35.3932285,18.255,36.0453072,18.319
122,35.3806419,18.444,36.0186501,18.507
123,35.4077511,18.57,36.0127106,18.633
124,35.3987617,18.696,36.0121574,18.767
125,35.3850689,18.916,36.0135384,18.979
126,35.3781528,19.042,36.013401,19.105
127,35.3953037,19.168,35.9997272,19.239
128,35.4013882,19.305,35.9821835,19.41
129,35.3878345,19.503,35.9995899,19.566
130,35.3897705,19.629,36.029007,19.692
131,35.4266987,19.756,36.0142288,19.824
132,35.3939209,19.941,36.0448952,20.004
133,35.4118996,20.092,36.0277672,20.155
134,35.4197826,20.226,36.0324631,20.292
135,35.4181232,20.407,36.0475159,20.476
136,35.423933,20.539,36.045166,20.602
137,35.4337482,20.691,36.0598068,20.755
138,35.4236526,20.875,36.0353584,20.939
139,35.4215794,21.002,36.04282,21.065
140,35.45961,21.128,36.0455551,21.199
141,35.4342861,21.416,36.0459709,21.479
142,35.443552,21.542,36.0394783,21.605
143,35.4352551,21.673,36.0557747,21.774
144,35.4518509,21.837,36.0774612,21.9
145,35.4569664,21.989,36.0723495,22.052
146,35.4551678,22.118,36.0520477,22.182
147,35.4360847,22.288,36.0589523,22.357
148,35.4620838,22.421,36.0426559,22.485
149,35.4539242,22.576,36.0715218,22.643
150,35.4322128,22.757,36.0590935,22.826
151,35.4612541,22.889,36.0553627,22.952
152,35.4363613,23.016,36.0563278,23.08
153,35.4629135,23.233,36.0423775,23.296
154,35.4334564,23.359,36.0379601,23.422
155,35.4524021,23.486,36.0275993,23.556
156,35.4298611,23.622,36.039753,23.727
157,35.4727306,23.821,36.0443115,23.885
158,35.4741154,23.948,36.0215225,24.011
159,35.4526787,24.083,36.0394783,24.192
160,35.4908466,24.261,36.0419655,24.324
161,35.4456272,24.413,36.0423775,24.476
162,35.4481163,24.547,36.0324326,24.671
163,35.4521255,24.735,36.039753,24.799
164,35.4612541,24.862,36.0382347,24.925
165,35.4467335,25.017,36.0320206,25.087
166,35.4457645,25.212,36.0230408,25.275
167,35.4640198,25.338,36.0263557,25.401
168,35.4649868,25.464,36.0340919,25.533
169,35.4615307,25.673,36.0425186,25.736
170,35.4512978,25.8,36.0321579,25.864
171,35.4544773,25.927,36.0473518,25.996
172,35.4355316,26.102,36.0172424,26.171
173,35.436224,26.26,36.0539818,26.323
174,35.4464588,26.387,36.0375443,26.453
175,35.4203186,26.573,36.0365791,26.636
176,35.4286175,26.699,36.030262,26.762
177,35.4441433,26.927,36.00457,26.993
178,35.4254742,27.1,36.0308113,27.163
179,35.4278259,27.226,36.0391006,27.289
180,35.4354305,27.353,35.9961452,27.424
181,35.4409637,27.565,36.0356483,27.628
182,35.4333572,27.691,36.0252876,27.754
183,35.4193878,27.817,36.0205917,27.888
184,35.4343243,27.993,36.0210037,28.062
185,35.4352932,28.151,36.0352325,28.214
186,35.4390259,28.278,36.0268059,28.342
187,35.4202175,28.461,36.0292931,28.524
188,35.4206333,28.588,36.0121651,28.651
189,35.4113674,28.739,36.0011139,28.804
190,35.4229832,28.924,36.0012512,28.987
191,35.4258881,29.051,35.9915867,29.114
192,35.4196644,29.177,36.0081596,29.247
193,35.4036217,29.397,36.0348206,29.461
194,35.4178677,29.524,36.0161705,29.587
195,35.4218788,29.65,36.0145149,29.721
196,35.399334,29.787,36.0233536,29.892
