Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,38.6241531,0,39.3173523,0.064
2,38.6218147,0.127,39.3088455,0.19
3,38.6266251,0.253,39.3165283,0.316
4,38.6285477,0.379,39.3187256,0.442
5,38.6403656,0.53,39.3291512,0.593
6,38.6267624,0.656,39.2932053,0.719
7,38.6209908,0.782,39.323391,0.845
8,38.638031,0.908,39.3107681,0.971
9,38.6068382,1.059,39.3185883,1.123
10,38.6105499,1.191,39.3115883,1.254
11,38.6163216,1.317,39.3253098,1.382
12,38.6071167,1.445,39.3228416,1.508
13,38.6203041,1.597,39.3107681,1.66
14,38.6178322,1.723,39.3043175,1.786
15,38.6201668,1.85,39.3018494,1.914
16,38.6299248,1.977,39.3085709,2.04
17,38.6332207,2.129,39.2970467,2.193
18,38.6117859,2.256,39.3048668,2.319
19,38.6068382,2.382,39.3177643,2.45
20,38.6131592,2.589,39.2834625,2.803
21,38.6058769,2.941,39.2981453,3.004
22,38.6252518,3.067,39.2862053,3.13
23,38.6284103,3.193,39.3008881,3.262
24,38.6040916,3.382,39.3098068,3.451
25,38.6104126,3.539,39.2746811,3.602
26,38.6003838,3.665,39.2870293,3.729
27,38.6211281,3.843,39.2864799,3.907
28,38.6064301,3.97,39.2881279,4.033
29,38.628685,4.122,39.2800331,4.189
30,38.6117859,4.306,39.2853851,4.37
31,38.5951614,4.433,39.2900505,4.496
32,38.5627327,4.559,39.2835999,4.629
33,38.5665817,4.842,39.2878532,4.906
34,38.5877419,4.969,39.2805824,5.032
35,38.5808716,5.098,39.2726212,5.168
36,38.5898018,5.273,39.2745438,5.336
37,38.5745506,5.424,39.2626076,5.487
38,38.5761986,5.55,39.2506676,5.624
39,38.5650673,5.738,39.2564316,5.801
40,38.5511894,5.864,39.2888145,5.927
41,38.5521507,6.023,39.2593117,6.089
42,38.5678177,6.191,39.2672729,6.26
43,38.5713882,6.323,39.2774239,6.386
44,38.5621834,6.45,39.2728958,6.516
45,38.5658951,6.661,39.2716637,6.724
46,38.56493,6.787,39.2958107,6.85
47,38.5852661,6.914,39.270565,6.985
48,38.5781212,7.051,39.2620583,7.153
49,38.5660324,7.246,39.2728958,7.309
50,38.5752373,7.372,39.2516289,7.435
51,38.5940628,7.5,39.266861,7.614
52,38.5834808,7.677,39.2761917,7.74
53,38.5625954,7.829,39.2776985,7.893
54,38.5855446,7.956,39.2554703,8.026
55,38.5756493,8.14,39.2632904,8.203
56,38.5760612,8.266,39.2525902,8.329
57,38.5562744,8.424,39.2727585,8.489
58,38.570015,8.614,39.2801704,8.677
59,38.5770226,8.74,39.2803078,8.803
60,38.5968094,8.867,39.2475128,8.931
61,38.5985947,9.082,39.2680931,9.145
62,38.5909004,9.208,39.2635651,9.271
63,38.5794983,9.334,39.2678185,9.404
64,38.5772972,9.47,39.2561646,9.575
65,38.5837631,9.669,39.2945824,9.732
66,38.5790901,9.796,39.2871742,9.86
67,38.567688,9.925,39.2816849,10.046
68,38.5859604,10.109,39.2781334,10.173
69,38.584877,10.329,39.2582397,10.393
70,38.5608292,10.463,39.268116,10.559
71,38.5792427,10.627,39.2495918,10.691
72,38.5766335,10.754,39.2645493,10.817
73,38.5720978,10.969,39.2388916,11.033
74,38.5769081,11.096,39.2827988,11.159
75,38.5657768,11.223,39.2520638,11.287
76,38.575119,11.355,39.2520638,11.46
77,38.5944939,11.554,39.2559052,11.617
78,38.5771828,11.68,39.268116,11.743
79,38.5943565,11.807,39.2482224,11.875
80,38.5689354,11.992,39.2683907,12.056
81,38.581852,12.144,39.2486343,12.207
82,38.5900993,12.273,39.2943268,12.339
83,38.5664635,12.455,39.2712746,12.524
84,38.5862503,12.587,39.2616692,12.65
85,38.5817146,12.739,39.2574158,12.811
86,38.5841904,12.921,39.2626305,12.99
87,38.5685234,13.053,39.2670212,13.116
88,38.5775948,13.18,39.2458878,13.246
89,38.5685234,13.396,39.2464371,13.459
90,38.5653648,13.522,39.248085,13.585
91,38.5867996,13.649,39.2556305,13.719
92,38.5642662,13.785,39.2671585,13.89
93,38.581852,13.984,39.2568665,14.047
94,38.5617905,14.11,39.2420464,14.173
95,38.5720978,14.237,39.2428703,14.305
96,38.5594559,14.422,39.2616692,14.485
97,38.5437889,14.574,39.2619438,14.637
98,38.5707245,14.707,39.2384796,14.773
99,38.539669,14.888,39.2436943,14.957
100,38.5671501,15.02,39.2504234,15.084
101,38.5648232,15.173,39.2549553,15.243
102,38.5694962,15.353,39.2421913,15.422
103,38.5655098,15.486,39.2568741,15.55
104,38.5754051,15.613,39.2496986,15.679
105,38.5652657,15.896,39.2450333,15.959
106,38.5691109,16.022,39.2606773,16.085
107,38.5651283,16.151,39.2686348,16.255
108,38.5691109,16.318,39.2717934,16.381
109,38.5674629,16.47,39.2630081,16.533
110,38.5979691,16.599,39.261776,16.723
111,38.5770798,16.786,39.2624588,16.849
112,38.5967293,16.912,39.2623253,16.975
113,38.5792809,17.066,39.2722015,17.132
114,38.589447,17.248,39.2486,17.317
115,38.5901337,17.38,39.2642441,17.443
116,38.5743332,17.507,39.2455826,17.57
117,38.5644417,17.721,39.2472305,17.784
118,38.6003036,17.847,39.2587547,17.91
119,38.5916481,17.973,39.2565613,18.036
120,38.554409,18.111,39.2690468,18.229
121,38.589859,18.317,39.2503853,18.38
122,38.5770798,18.443,39.2492867,18.508
123,38.548912,18.578,39.2317238,18.687
124,38.5604553,18.756,39.2413292,18.819
125,38.5537224,18.908,39.2363892,18.971
126,38.566227,19.034,39.2436638,19.162
127,38.5608673,19.225,39.2453079,19.288
128,38.5718613,19.351,39.2432518,19.414
129,38.5757065,19.506,39.2311745,19.58
130,38.5702095,19.684,39.2509346,19.752
131,38.553997,19.815,39.2455826,19.878
132,38.5522118,19.941,39.2359772,20.009
133,38.5471268,20.149,39.2328224,20.212
134,38.5458908,20.275,39.2365265,20.338
135,38.5340729,20.401,39.2411919,20.471
136,38.5502853,20.576,39.2384567,20.645
137,38.5544167,20.734,39.2351608,20.797
138,38.5412254,20.86,39.2346115,20.924
139,38.5509796,21.044,39.2166367,21.107
140,38.5581284,21.17,39.2469826,21.233
141,38.5656586,21.394,39.2339439,21.464
142,38.5482101,21.571,39.2409439,21.635
143,38.5614014,21.698,39.2424507,21.761
144,38.5568657,21.824,39.2347679,21.894
145,38.5438118,22.037,39.2213211,22.1
146,38.5510941,22.163,39.2414932,22.226
147,38.5454597,22.29,39.2328453,22.358
148,38.5484848,22.464,39.2295532,22.533
149,38.5542564,22.622,39.2338066,22.685
150,38.5458717,22.748,39.2412186,22.813
151,38.5248489,22.937,39.2365532,23
152,38.5548058,23.063,39.2449226,23.126
153,38.5270462,23.214,39.2169266,23.281
154,38.5414734,23.4,39.2439613,23.463
155,38.5423012,23.526,39.2235146,23.589
156,38.5678596,23.652,39.2360039,23.723
157,38.5465584,23.873,39.2313385,23.936
158,38.547657,23.999,39.2139091,24.062
159,38.5634613,24.125,39.2125359,24.196
160,38.5379028,24.262,39.2357292,24.367
161,38.5690956,24.462,39.2447853,24.525
162,38.5605774,24.588,39.2368279,24.651
163,38.5596161,24.723,39.2265358,24.832
164,38.5343285,24.901,39.2294159,24.965
165,38.5282822,25.053,39.2069092,25.116
166,38.5451851,25.181,39.2262611,25.3
167,38.5086327,25.364,39.2417679,25.427
168,38.5362511,25.49,39.2048531,25.553
169,38.5399628,25.643,39.2184372,25.709
170,38.5537071,25.825,39.2063599,25.894
171,38.5275955,25.957,39.232708,26.02
172,38.5432625,26.083,39.242588,26.153
173,38.5207253,26.304,39.2369614,26.368
174,38.5262222,26.432,39.2106133,26.495
175,38.5359764,26.558,39.2276306,26.621
176,38.5307541,26.687,39.2197037,26.809
177,38.5378914,26.965,39.2470093,27.028
178,38.5214005,27.091,39.2453651,27.157
179,38.5330849,27.223,39.2452278,27.33
180,38.5337715,27.399,39.2225838,27.463
181,38.5275879,27.551,39.2268372,27.615
182,38.5303345,27.682,39.2335625,27.806
183,38.5257988,27.87,39.209137,27.933
184,38.5271759,27.996,39.2301331,28.06
185,38.5290985,28.15,39.2266998,28.275
186,38.5134315,28.339,39.2238197,28.402
187,38.5160408,28.465,39.2306824,28.529
188,38.5409164,28.6,39.2328758,28.666
189,38.5270386,28.816,39.224369,28.88
190,38.5084839,28.943,39.2353477,29.006
191,38.5455894,29.069,39.2107811,29.138
192,38.5321198,29.244,39.2111931,29.314
193,38.5310211,29.402,39.2245064,29.466
194,38.5075226,29.53,39.2356224,29.596
195,38.5233269,29.72,39.1985703,29.783
196,38.5222282,29.846,39.200489,29.91
197,38.5182419,29.998,39.2330132,30.064
198,38.5066986,30.185,39.2343864,30.248
199,38.5016136,30.311,39.195961,30.375
200,38.5296478,30.439,39.2203903,30.51
201,38.5124702,30.66,39.2181931,30.723
202,38.5066986,30.786,39.2197037,30.85
203,38.4959793,30.913,39.208725,30.976
204,38.482235,31.052,39.1936264,31.17
205,38.4886932,31.258,39.1952744,31.321
206,38.4980392,31.384,39.1858063,31.455
207,38.4783859,31.521,39.1903343,31.628
208,38.4917183,31.697,39.1973534,31.761
209,38.4803276,31.85,39.2006454,31.914
210,38.4682312,31.989,39.1909027,32.096
211,38.4910469,32.165,39.2006454,32.229
212,38.4800529,32.293,39.2076225,32.356
213,38.4833794,32.59,39.1901932,32.653
214,38.5050964,32.716,39.1965065,32.779
215,38.4804955,32.842,39.1906052,32.91
216,38.4846191,33.006,39.1918373,33.076
217,38.4679871,33.164,39.1761932,33.228
218,38.4784317,33.292,39.1782532,33.358
219,38.4872284,33.479,39.1947212,33.542
220,38.4670258,33.605,39.1808586,33.668
221,38.483242,33.756,39.1759186,33.821
222,38.4751358,33.891,39.1966438,34.009
223,38.4765091,34.073,39.1853905,34.137
224,38.4550667,34.2,39.1794891,34.263
225,38.4835167,34.417,39.1897812,34.481
226,38.4787064,34.545,39.1796265,34.608
227,38.4815941,34.671,39.1866226,34.734
228,38.4565811,34.806,39.1676865,34.916
229,38.4843407,35.01,39.1926613,35.073
230,38.4733467,35.137,39.1823692,35.2
231,38.459877,35.272,39.1900558,35.397
232,38.4859924,35.46,39.1755066,35.524
233,38.4869537,35.613,39.1579399,35.677
234,38.4745865,35.742,39.1661758,35.81
235,38.4876404,35.935,39.1626053,35.999
236,38.4725227,36.063,39.1767426,36.126
237,38.4531441,36.222,39.162468,36.3
238,38.4575424,36.42,39.1838799,36.49
239,38.4898415,36.554,39.1816826,36.617
240,38.4686737,36.68,39.1720772,36.745
241,38.4642754,36.84,39.1814079,36.956
242,38.4839287,37.025,39.1890945,37.088
243,38.4886017,37.151,39.1737213,37.214
244,38.4626274,37.277,39.1665916,37.346
